Nombre;Codigo;Clase
aldose 1-epimerase [EC:5.1.3.3];EC:5.1.3.3;Isomerases
glucokinase [EC:2.7.1.2];EC:2.7.1.2;Transferases
6-phospho-beta-glucosidase [EC:3.2.1.86];EC:3.2.1.86;Hydrolases
glucose-6-phosphate isomerase [EC:5.3.1.9];EC:5.3.1.9;Isomerases
glucose PTS system EIICBA or EIICB component [EC:2.7.1.199];EC:2.7.1.199;Transferases
phosphoglucomutase [EC:5.4.2.2];EC:5.4.2.2;Isomerases
fructose-1,6-bisphosphatase II [EC:3.1.3.11];EC:3.1.3.11;Hydrolases
6-phosphofructokinase 1 [EC:2.7.1.11];EC:2.7.1.11;Transferases
fructose-bisphosphate aldolase, class II [EC:4.1.2.13];EC:4.1.2.13;Lyases
triosephosphate isomerase (TIM) [EC:5.3.1.1];EC:5.3.1.1;Isomerases
glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12];EC:1.2.1.12;Oxidoreductases
phosphoglycerate kinase [EC:2.7.2.3];EC:2.7.2.3;Transferases
2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11];EC:5.4.2.11;Isomerases
enolase [EC:4.2.1.11];EC:4.2.1.11;Lyases
pyruvate kinase [EC:2.7.1.40];EC:2.7.1.40;Transferases
sugar PTS system EIIA component [EC:2.7.1.-];EC:2.7.1.-;No informacion
L-lactate dehydrogenase [EC:1.1.1.27];EC:1.1.1.27;Oxidoreductases
glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9];EC:1.2.1.9;Oxidoreductases
pyruvate-ferredoxin/flavodoxin oxidoreductase [EC:1.2.7.1 1.2.7.-];EC:1.2.7.1 1.2.7.-;Oxidoreductases
2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12];EC:5.4.2.12;Isomerases
2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11];EC:1.2.7.3 1.2.7.11;Oxidoreductases
pyruvate carboxylase [EC:6.4.1.1];EC:6.4.1.1;Ligases
isocitrate dehydrogenase (NAD+) [EC:1.1.1.41];EC:1.1.1.41;Oxidoreductases
aconitate hydratase [EC:4.2.1.3];EC:4.2.1.3;Lyases
citrate (Re)-synthase [EC:2.3.3.3];EC:2.3.3.3;Transferases
