Nombre;Codigo;Clase
aldose 1-epimerase [EC:5.1.3.3];EC:5.1.3.3;Isomerases
hexokinase [EC:2.7.1.1];EC:2.7.1.1;Transferases
glucose-6-phosphate isomerase [EC:5.3.1.9];EC:5.3.1.9;Isomerases
phosphoglucomutase [EC:5.4.2.2];EC:5.4.2.2;Isomerases
fructose-1,6-bisphosphatase I [EC:3.1.3.11];EC:3.1.3.11;Hydrolases
6-phosphofructokinase 1 [EC:2.7.1.11];EC:2.7.1.11;Transferases
fructose-bisphosphate aldolase, class I [EC:4.1.2.13];EC:4.1.2.13;Lyases
triosephosphate isomerase (TIM) [EC:5.3.1.1];EC:5.3.1.1;Isomerases
glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12];EC:1.2.1.12;Oxidoreductases
phosphoglycerate kinase [EC:2.7.2.3];EC:2.7.2.3;Transferases
pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1];EC:1.2.4.1;Oxidoreductases
pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12];EC:2.3.1.12;Transferases
dihydrolipoamide dehydrogenase [EC:1.8.1.4];EC:1.8.1.4;Oxidoreductases
aldehyde dehydrogenase family 7 member A1 [EC:1.2.1.31 1.2.1.8 1.2.1.3];EC:1.2.1.31 1.2.1.8 1.2.1.3;Oxidoreductases
alcohol dehydrogenase, propanol-preferring [EC:1.1.1.1];EC:1.1.1.1;Oxidoreductases
pyruvate kinase [EC:2.7.1.40];EC:2.7.1.40;Transferases
enolase [EC:4.2.1.11];EC:4.2.1.11;Lyases
L-lactate dehydrogenase [EC:1.1.1.27];EC:1.1.1.27;Oxidoreductases
phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32];EC:4.1.1.32;Lyases
acetyl-CoA synthetase [EC:6.2.1.1];EC:6.2.1.1;Ligases
ADP-dependent glucokinase [EC:2.7.1.147];EC:2.7.1.147;Transferases
2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12];EC:5.4.2.12;Isomerases
pyruvate carboxylase [EC:6.4.1.1];EC:6.4.1.1;Ligases
citrate synthase [EC:2.3.3.1];EC:2.3.3.1;Transferases
ATP citrate (pro-S)-lyase [EC:2.3.3.8];EC:2.3.3.8;Transferases
malate dehydrogenase [EC:1.1.1.37];EC:1.1.1.37;Oxidoreductases
fumarate hydratase, class II [EC:4.2.1.2];EC:4.2.1.2;Lyases
succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1];EC:1.3.5.1;Oxidoreductases
succinyl-CoA synthetase alpha subunit [EC:6.2.1.4 6.2.1.5];EC:6.2.1.4 6.2.1.5;Ligases
2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61];EC:2.3.1.61;Transferases
2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2];EC:1.2.4.2;Oxidoreductases
isocitrate dehydrogenase (NAD+) [EC:1.1.1.41];EC:1.1.1.41;Oxidoreductases
isocitrate dehydrogenase [EC:1.1.1.42];EC:1.1.1.42;Oxidoreductases
aconitate hydratase [EC:4.2.1.3];EC:4.2.1.3;Lyases
6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343];EC:1.1.1.44 1.1.1.343;Oxidoreductases
6-phosphogluconolactonase [EC:3.1.1.31];EC:3.1.1.31;Hydrolases
gluconokinase [EC:2.7.1.12];EC:2.7.1.12;Transferases
glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363];EC:1.1.1.49 1.1.1.363;Oxidoreductases
ribulose-phosphate 3-epimerase [EC:5.1.3.1];EC:5.1.3.1;Isomerases
ribose 5-phosphate isomerase A [EC:5.3.1.6];EC:5.3.1.6;Isomerases
transketolase [EC:2.2.1.1];EC:2.2.1.1;Transferases
ribokinase [EC:2.7.1.15];EC:2.7.1.15;Transferases
phosphoglucomutase / phosphopentomutase [EC:5.4.2.2 5.4.2.7];EC:5.4.2.2 5.4.2.7;Isomerases
ribose-phosphate pyrophosphokinase [EC:2.7.6.1];EC:2.7.6.1;Transferases
