Nombre;Codigo;Clase
glucokinase [EC:2.7.1.2];EC:2.7.1.2;Transferases
glucose-1-phosphatase [EC:3.1.3.10];EC:3.1.3.10;Hydrolases
aldose 1-epimerase [EC:5.1.3.3];EC:5.1.3.3;Isomerases
6-phospho-beta-glucosidase [EC:3.2.1.86];EC:3.2.1.86;Hydrolases
glucose-6-phosphate isomerase [EC:5.3.1.9];EC:5.3.1.9;Isomerases
glucose-6-phosphate 1-epimerase [EC:5.1.3.15];EC:5.1.3.15;Isomerases
glucose PTS system EIICB or EIICBA component [EC:2.7.1.199];EC:2.7.1.199;Transferases
phosphoglucomutase [EC:5.4.2.2];EC:5.4.2.2;Isomerases
fructose-1,6-bisphosphatase II [EC:3.1.3.11];EC:3.1.3.11;Hydrolases
6-phosphofructokinase 2 [EC:2.7.1.11];EC:2.7.1.11;Transferases
fructose-bisphosphate aldolase, class I [EC:4.1.2.13];EC:4.1.2.13;Lyases
triosephosphate isomerase (TIM) [EC:5.3.1.1];EC:5.3.1.1;Isomerases
glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12];EC:1.2.1.12;Oxidoreductases
phosphoglycerate kinase [EC:2.7.2.3];EC:2.7.2.3;Transferases
2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11];EC:5.4.2.11;Isomerases
enolase [EC:4.2.1.11];EC:4.2.1.11;Lyases
pyruvate dehydrogenase E1 component [EC:1.2.4.1];EC:1.2.4.1;Oxidoreductases
pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12];EC:2.3.1.12;Transferases
dihydrolipoamide dehydrogenase [EC:1.8.1.4];EC:1.8.1.4;Oxidoreductases
pyruvate kinase [EC:2.7.1.40];EC:2.7.1.40;Transferases
sugar PTS system EIIA component [EC:2.7.1.-];EC:2.7.1.-;No informacion
phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49];EC:4.1.1.49;Lyases
pyruvate-ferredoxin/flavodoxin oxidoreductase [EC:1.2.7.1 1.2.7.-];EC:1.2.7.1 1.2.7.-;Oxidoreductases
acetyl-CoA synthetase [EC:6.2.1.1];EC:6.2.1.1;Ligases
2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12];EC:5.4.2.12;Isomerases
aldehyde dehydrogenase [EC:1.2.1.-];EC:1.2.1.-;No informacion
S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1];EC:1.1.1.284 1.1.1.1;Oxidoreductases
alcohol dehydrogenase;e;No informacion
citrate synthase [EC:2.3.3.1];EC:2.3.3.1;Transferases
malate dehydrogenase [EC:1.1.1.37];EC:1.1.1.37;Oxidoreductases
fumarate hydratase, class II [EC:4.2.1.2];EC:4.2.1.2;Lyases
succinate dehydrogenase / fumarate reductase, cytochrome b subunit;t;No informacion
succinyl-CoA synthetase beta subunit [EC:6.2.1.5];EC:6.2.1.5;Ligases
2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61];EC:2.3.1.61;Transferases
2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2];EC:1.2.4.2;Oxidoreductases
isocitrate dehydrogenase [EC:1.1.1.42];EC:1.1.1.42;Oxidoreductases
aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99];EC:4.2.1.3 4.2.1.99;Lyases
malate dehydrogenase (quinone) [EC:1.1.5.4];EC:1.1.5.4;Oxidoreductases
2-dehydro-3-deoxygluconokinase [EC:2.7.1.45];EC:2.7.1.45;Transferases
phosphogluconate dehydratase [EC:4.2.1.12];EC:4.2.1.12;Lyases
2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.14 4.1.3.42];EC:4.1.2.14 4.1.3.42;Lyases
6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343];EC:1.1.1.44 1.1.1.343;Oxidoreductases
6-phosphogluconolactonase [EC:3.1.1.31];EC:3.1.1.31;Hydrolases
gluconokinase [EC:2.7.1.12];EC:2.7.1.12;Transferases
glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363];EC:1.1.1.49 1.1.1.363;Oxidoreductases
ribulose-phosphate 3-epimerase [EC:5.1.3.1];EC:5.1.3.1;Isomerases
