Nombre;Codigo;Clase
aldose 1-epimerase [EC:5.1.3.3];EC:5.1.3.3;Isomerases
hexokinase [EC:2.7.1.1];EC:2.7.1.1;Transferases
glucokinase [EC:2.7.1.2];EC:2.7.1.2;Transferases
glucose-6-phosphatase [EC:3.1.3.9];EC:3.1.3.9;Hydrolases
glucose-6-phosphate isomerase [EC:5.3.1.9];EC:5.3.1.9;Isomerases
phosphoglucomutase [EC:5.4.2.2];EC:5.4.2.2;Isomerases
fructose-1,6-bisphosphatase I [EC:3.1.3.11];EC:3.1.3.11;Hydrolases
6-phosphofructokinase 1 [EC:2.7.1.11];EC:2.7.1.11;Transferases
fructose-bisphosphate aldolase, class I [EC:4.1.2.13];EC:4.1.2.13;Lyases
triosephosphate isomerase (TIM) [EC:5.3.1.1];EC:5.3.1.1;Isomerases
glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12];EC:1.2.1.12;Oxidoreductases
phosphoglycerate kinase [EC:2.7.2.3];EC:2.7.2.3;Transferases
2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11];EC:5.4.2.11;Isomerases
enolase [EC:4.2.1.11];EC:4.2.1.11;Lyases
pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1];EC:1.2.4.1;Oxidoreductases
pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12];EC:2.3.1.12;Transferases
dihydrolipoamide dehydrogenase [EC:1.8.1.4];EC:1.8.1.4;Oxidoreductases
aldehyde dehydrogenase (NAD+) [EC:1.2.1.3];EC:1.2.1.3;Oxidoreductases
alcohol dehydrogenase 4 [EC:1.1.1.1];EC:1.1.1.1;Oxidoreductases
aldehyde dehydrogenase (NAD(P)+) [EC:1.2.1.5];EC:1.2.1.5;Oxidoreductases
alcohol dehydrogenase (NADP+) [EC:1.1.1.2];EC:1.1.1.2;Oxidoreductases
pyruvate kinase isozymes R/L [EC:2.7.1.40];EC:2.7.1.40;Transferases
L-lactate dehydrogenase [EC:1.1.1.27];EC:1.1.1.27;Oxidoreductases
bisphosphoglycerate/phosphoglycerate mutase [EC:5.4.2.4 5.4.2.11];EC:5.4.2.4 5.4.2.11;Isomerases
phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32];EC:4.1.1.32;Lyases
acetyl-CoA synthetase [EC:6.2.1.1];EC:6.2.1.1;Ligases
ADP-dependent glucokinase [EC:2.7.1.147];EC:2.7.1.147;Transferases
multiple inositol-polyphosphate phosphatase / 2,3-bisphosphoglycerate 3-phosphatase [EC:3.1.3.62 3.1.3.80];EC:3.1.3.62 3.1.3.80;Hydrolases
pyruvate carboxylase [EC:6.4.1.1];EC:6.4.1.1;Ligases
citrate synthase [EC:2.3.3.1];EC:2.3.3.1;Transferases
ATP citrate (pro-S)-lyase [EC:2.3.3.8];EC:2.3.3.8;Transferases
malate dehydrogenase [EC:1.1.1.37];EC:1.1.1.37;Oxidoreductases
fumarate hydratase, class II [EC:4.2.1.2];EC:4.2.1.2;Lyases
succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1];EC:1.3.5.1;Oxidoreductases
succinyl-CoA synthetase beta subunit [EC:6.2.1.4 6.2.1.5];EC:6.2.1.4 6.2.1.5;Ligases
2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61];EC:2.3.1.61;Transferases
2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2];EC:1.2.4.2;Oxidoreductases
isocitrate dehydrogenase (NAD+) [EC:1.1.1.41];EC:1.1.1.41;Oxidoreductases
isocitrate dehydrogenase [EC:1.1.1.42];EC:1.1.1.42;Oxidoreductases
aconitate hydratase [EC:4.2.1.3];EC:4.2.1.3;Lyases
gluconokinase [EC:2.7.1.12];EC:2.7.1.12;Transferases
gluconolactonase [EC:3.1.1.17];EC:3.1.1.17;Hydrolases
6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343];EC:1.1.1.44 1.1.1.343;Oxidoreductases
6-phosphogluconolactonase [EC:3.1.1.31];EC:3.1.1.31;Hydrolases
