Nombre;Codigo;Clase
glucose/mannose-6-phosphate isomerase [EC:5.3.1.9 5.3.1.8];EC:5.3.1.9 5.3.1.8;Isomerases
phosphomannomutase / phosphoglucomutase [EC:5.4.2.8 5.4.2.2];EC:5.4.2.8 5.4.2.2;Isomerases
fructose 1,6-bisphosphate aldolase/phosphatase [EC:4.1.2.13 3.1.3.11];EC:4.1.2.13 3.1.3.11;Lyases
triosephosphate isomerase (TIM) [EC:5.3.1.1];EC:5.3.1.1;Isomerases
aldehyde dehydrogenase (NAD+) [EC:1.2.1.3];EC:1.2.1.3;Oxidoreductases
alcohol dehydrogenase [EC:1.1.1.1];EC:1.1.1.1;Oxidoreductases
pyruvate kinase [EC:2.7.1.40];EC:2.7.1.40;Transferases
enolase [EC:4.2.1.11];EC:4.2.1.11;Lyases
phosphoglycerate kinase [EC:2.7.2.3];EC:2.7.2.3;Transferases
glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) [EC:1.2.1.59];EC:1.2.1.59;Oxidoreductases
phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32];EC:4.1.1.32;Lyases
pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1];EC:1.2.7.1;Oxidoreductases
acetyl-CoA synthetase [EC:6.2.1.1];EC:6.2.1.1;Ligases
probable phosphoglycerate mutase [EC:5.4.2.12];EC:5.4.2.12;Isomerases
glyceraldehyde-3-phosphate dehydrogenase [NAD(P)+] [EC:1.2.1.90];EC:1.2.1.90;Oxidoreductases
2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11];EC:1.2.7.3 1.2.7.11;Oxidoreductases
citrate synthase [EC:2.3.3.1];EC:2.3.3.1;Transferases
malate dehydrogenase [EC:1.1.1.37];EC:1.1.1.37;Oxidoreductases
fumarate hydratase, class II [EC:4.2.1.2];EC:4.2.1.2;Lyases
succinate dehydrogenase / fumarate reductase, subunit D;D;No informacion
succinyl-CoA synthetase beta subunit [EC:6.2.1.5];EC:6.2.1.5;Ligases
isocitrate dehydrogenase [EC:1.1.1.42];EC:1.1.1.42;Oxidoreductases
aconitate hydratase [EC:4.2.1.3];EC:4.2.1.3;Lyases
transketolase [EC:2.2.1.1];EC:2.2.1.1;Transferases
ribose 5-phosphate isomerase A [EC:5.3.1.6];EC:5.3.1.6;Isomerases
ribokinase [EC:2.7.1.15];EC:2.7.1.15;Transferases
ribose-phosphate pyrophosphokinase [EC:2.7.6.1];EC:2.7.6.1;Transferases
gluconate/galactonate dehydratase [EC:4.2.1.140];EC:4.2.1.140;Lyases
2-dehydro-3-deoxy-phosphogluconate/2-dehydro-3-deoxy-6-phosphogalactonate aldolase [EC:4.1.2.55];EC:4.1.2.55;Lyases
6-phospho-3-hexuloisomerase [EC:5.3.1.27];EC:5.3.1.27;Isomerases
3-hexulose-6-phosphate synthase [EC:4.1.2.43];EC:4.1.2.43;Lyases
2-dehydro-3-deoxygluconokinase / 2-dehydro-3-deoxygalactonokinase [EC:2.7.1.178];EC:2.7.1.178;Transferases
glyceraldehyde dehydrogenase medium subunit [EC:1.2.99.8];EC:1.2.99.8;Oxidoreductases
glycerate 2-kinase [EC:2.7.1.165];EC:2.7.1.165;Transferases
2-dehydro-3-deoxy-D-arabinonate dehydratase [EC:4.2.1.141];EC:4.2.1.141;Lyases
2,5-dioxopentanoate dehydrogenase [EC:1.2.1.26];EC:1.2.1.26;Oxidoreductases
mannose-1-phosphate guanylyltransferase [EC:2.7.7.13];EC:2.7.7.13;Transferases
beta-galactosidase [EC:3.2.1.23];EC:3.2.1.23;Hydrolases
aldose 1-dehydrogenase [NAD(P)+] [EC:1.1.1.359];EC:1.1.1.359;Oxidoreductases
aldose 1-epimerase [EC:5.1.3.3];EC:5.1.3.3;Isomerases
acetyl-CoA C-acetyltransferase [EC:2.3.1.9];EC:2.3.1.9;Transferases
acetyl-CoA acyltransferase [EC:2.3.1.16];EC:2.3.1.16;Transferases
hydroxymethylglutaryl-CoA synthase [EC:2.3.3.10];EC:2.3.3.10;Transferases
4-hydroxybenzoate polyprenyltransferase [EC:2.5.1.39];EC:2.5.1.39;Transferases
flavin prenyltransferase [EC:2.5.1.129];EC:2.5.1.129;Transferases
V/A-type H+/Na+-transporting ATPase subunit I;I;No informacion
inorganic pyrophosphatase [EC:3.6.1.1];EC:3.6.1.1;Hydrolases
glutamine synthetase [EC:6.3.1.2];EC:6.3.1.2;Ligases
glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3];EC:1.4.1.3;Oxidoreductases
aspartate aminotransferase [EC:2.6.1.1];EC:2.6.1.1;Transferases
glutamate--LysW ligase ArgX [EC:6.3.2.-];EC:6.3.2.-;No informacion
[amino group carrier protein]-L-2-aminoadipate 6-kinase [EC:2.7.2.17];EC:2.7.2.17;Transferases
LysW-gamma-L-alpha-aminoadipyl-6-phosphate/LysW-L-glutamyl-5-phosphate reductase [EC:1.2.1.103 1.2.1.-];EC:1.2.1.103 1.2.1.-;Oxidoreductases
LysW-gamma-L-lysine/LysW-L-ornithine aminotransferase [EC:2.6.1.118 2.6.1.-];EC:2.6.1.118 2.6.1.-;Transferases
