Nombre;Codigo;Clase
UDP-glucose 4-epimerase [EC:5.1.3.2];EC:5.1.3.2;Isomerases
hexokinase [EC:2.7.1.1];EC:2.7.1.1;Transferases
glucose-6-phosphate isomerase [EC:5.3.1.9];EC:5.3.1.9;Isomerases
glucose-6-phosphate 1-epimerase [EC:5.1.3.15];EC:5.1.3.15;Isomerases
phosphoglucomutase [EC:5.4.2.2];EC:5.4.2.2;Isomerases
fructose-1,6-bisphosphatase I [EC:3.1.3.11];EC:3.1.3.11;Hydrolases
6-phosphofructokinase 1 [EC:2.7.1.11];EC:2.7.1.11;Transferases
fructose-bisphosphate aldolase, class II [EC:4.1.2.13];EC:4.1.2.13;Lyases
triosephosphate isomerase (TIM) [EC:5.3.1.1];EC:5.3.1.1;Isomerases
glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12];EC:1.2.1.12;Oxidoreductases
phosphoglycerate kinase [EC:2.7.2.3];EC:2.7.2.3;Transferases
2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11];EC:5.4.2.11;Isomerases
enolase [EC:4.2.1.11];EC:4.2.1.11;Lyases
pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1];EC:1.2.4.1;Oxidoreductases
pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12];EC:2.3.1.12;Transferases
pyruvate decarboxylase [EC:4.1.1.1];EC:4.1.1.1;Lyases
dihydrolipoamide dehydrogenase [EC:1.8.1.4];EC:1.8.1.4;Oxidoreductases
alcohol dehydrogenase, propanol-preferring [EC:1.1.1.1];EC:1.1.1.1;Oxidoreductases
alcohol dehydrogenase (NADP+) [EC:1.1.1.2];EC:1.1.1.2;Oxidoreductases
aldehyde dehydrogenase (NAD+) [EC:1.2.1.3];EC:1.2.1.3;Oxidoreductases
aldehyde dehydrogenase (NAD(P)+) [EC:1.2.1.5];EC:1.2.1.5;Oxidoreductases
pyruvate kinase [EC:2.7.1.40];EC:2.7.1.40;Transferases
phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49];EC:4.1.1.49;Lyases
acetyl-CoA synthetase [EC:6.2.1.1];EC:6.2.1.1;Ligases
pyruvate carboxylase [EC:6.4.1.1];EC:6.4.1.1;Ligases
citrate synthase [EC:2.3.3.1];EC:2.3.3.1;Transferases
malate dehydrogenase [EC:1.1.1.37];EC:1.1.1.37;Oxidoreductases
fumarate hydratase, class II [EC:4.2.1.2];EC:4.2.1.2;Lyases
succinate dehydrogenase (ubiquinone) membrane anchor subunit;t;No informacion
succinyl-CoA synthetase beta subunit [EC:6.2.1.4 6.2.1.5];EC:6.2.1.4 6.2.1.5;Ligases
2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61];EC:2.3.1.61;Transferases
2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2];EC:1.2.4.2;Oxidoreductases
isocitrate dehydrogenase (NAD+) [EC:1.1.1.41];EC:1.1.1.41;Oxidoreductases
isocitrate dehydrogenase [EC:1.1.1.42];EC:1.1.1.42;Oxidoreductases
aconitate hydratase [EC:4.2.1.3];EC:4.2.1.3;Lyases
6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343];EC:1.1.1.44 1.1.1.343;Oxidoreductases
6-phosphogluconolactonase [EC:3.1.1.31];EC:3.1.1.31;Hydrolases
gluconokinase [EC:2.7.1.12];EC:2.7.1.12;Transferases
glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363];EC:1.1.1.49 1.1.1.363;Oxidoreductases
ribulose-phosphate 3-epimerase [EC:5.1.3.1];EC:5.1.3.1;Isomerases
ribose 5-phosphate isomerase A [EC:5.3.1.6];EC:5.3.1.6;Isomerases
transketolase [EC:2.2.1.1];EC:2.2.1.1;Transferases
ribokinase [EC:2.7.1.15];EC:2.7.1.15;Transferases
ribose-phosphate pyrophosphokinase [EC:2.7.6.1];EC:2.7.6.1;Transferases
transaldolase [EC:2.2.1.2];EC:2.2.1.2;Transferases
xylulokinase [EC:2.7.1.17];EC:2.7.1.17;Transferases
D-xylulose reductase [EC:1.1.1.9];EC:1.1.1.9;Oxidoreductases
D-xylose reductase [EC:1.1.1.307];EC:1.1.1.307;Oxidoreductases
L-iditol 2-dehydrogenase [EC:1.1.1.14];EC:1.1.1.14;Oxidoreductases
mannitol 2-dehydrogenase [EC:1.1.1.67];EC:1.1.1.67;Oxidoreductases
6-phosphofructo-2-kinase / fructose-2,6-biphosphatase 2 [EC:2.7.1.105 3.1.3.46];EC:2.7.1.105 3.1.3.46;Transferases
mannose-6-phosphate isomerase [EC:5.3.1.8];EC:5.3.1.8;Isomerases
6-phosphofructo-2-kinase [EC:2.7.1.105];EC:2.7.1.105;Transferases
phosphomannomutase [EC:5.4.2.8];EC:5.4.2.8;Isomerases
mannose-1-phosphate guanylyltransferase [EC:2.7.7.13];EC:2.7.7.13;Transferases
triose/dihydroxyacetone kinase / FAD-AMP lyase (cyclizing) [EC:2.7.1.28 2.7.1.29 4.6.1.15];EC:2.7.1.28 2.7.1.29 4.6.1.15;Transferases
UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9];EC:2.7.7.9;Transferases
UDPglucose--hexose-1-phosphate uridylyltransferase [EC:2.7.7.12];EC:2.7.7.12;Transferases
beta-fructofuranosidase [EC:3.2.1.26];EC:3.2.1.26;Hydrolases
oligo-1,6-glucosidase [EC:3.2.1.10];EC:3.2.1.10;Hydrolases
galactokinase [EC:2.7.1.6];EC:2.7.1.6;Transferases
fatty acid synthase subunit beta, fungi type [EC:2.3.1.86];EC:2.3.1.86;Transferases
acetyl-CoA carboxylase / biotin carboxylase 1 [EC:6.4.1.2 6.3.4.14 2.1.3.15];EC:6.4.1.2 6.3.4.14 2.1.3.15;Ligases
[acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39];EC:2.3.1.39;Transferases
3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100];EC:1.1.1.100;Oxidoreductases
fatty acid synthase subunit alpha, fungi type [EC:2.3.1.86];EC:2.3.1.86;Transferases
3-oxoacyl-[acyl-carrier-protein] synthase II [EC:2.3.1.179];EC:2.3.1.179;Transferases
long-chain acyl-CoA synthetase [EC:6.2.1.3];EC:6.2.1.3;Ligases
3-hydroxyacyl-thioester dehydratase, fungi type [EC:4.2.1.-];EC:4.2.1.-;No informacion
mitochondrial enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase [EC:1.3.1.- 1.3.1.38];EC:1.3.1.- 1.3.1.38;No informacion
17beta-estradiol 17-dehydrogenase / very-long-chain 3-oxoacyl-CoA reductase [EC:1.1.1.62 1.1.1.330];EC:1.1.1.62 1.1.1.330;Oxidoreductases
very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase [EC:4.2.1.134];EC:4.2.1.134;Lyases
very-long-chain enoyl-CoA reductase [EC:1.3.1.93];EC:1.3.1.93;Oxidoreductases
acyl-coenzyme A thioesterase 1/2/4 [EC:3.1.2.2];EC:3.1.2.2;Hydrolases
fatty acid elongase 2 [EC:2.3.1.199];EC:2.3.1.199;Transferases
acetyl-CoA C-acetyltransferase [EC:2.3.1.9];EC:2.3.1.9;Transferases
acyl-CoA oxidase [EC:1.3.3.6];EC:1.3.3.6;Oxidoreductases
acetyl-CoA acyltransferase 1 [EC:2.3.1.16];EC:2.3.1.16;Transferases
hydroxymethylglutaryl-CoA synthase [EC:2.3.3.10];EC:2.3.3.10;Transferases
sterol 14alpha-demethylase [EC:1.14.14.154 1.14.15.36];EC:1.14.14.154 1.14.15.36;Oxidoreductases
Delta14-sterol reductase [EC:1.3.1.70];EC:1.3.1.70;Oxidoreductases
lanosterol synthase [EC:5.4.99.7];EC:5.4.99.7;Isomerases
methylsterol monooxygenase [EC:1.14.18.9];EC:1.14.18.9;Oxidoreductases
sterol-4alpha-carboxylate 3-dehydrogenase (decarboxylating) [EC:1.1.1.170];EC:1.1.1.170;Oxidoreductases
3-keto steroid reductase [EC:1.1.1.270];EC:1.1.1.270;Oxidoreductases
C-8 sterol isomerase [EC:5.-.-.-];EC:5.-.-.-;No informacion
sterol 24-C-methyltransferase [EC:2.1.1.41];EC:2.1.1.41;Transferases
Delta7-sterol 5-desaturase [EC:1.14.19.20];EC:1.14.19.20;Oxidoreductases
sterol 22-desaturase [EC:1.14.19.41];EC:1.14.19.41;Oxidoreductases
Delta24(24(1))-sterol reductase [EC:1.3.1.71];EC:1.3.1.71;Oxidoreductases
farnesyl-diphosphate farnesyltransferase [EC:2.5.1.21];EC:2.5.1.21;Transferases
squalene monooxygenase [EC:1.14.14.17];EC:1.14.14.17;Oxidoreductases
4-hydroxybenzoate polyprenyltransferase [EC:2.5.1.39];EC:2.5.1.39;Transferases
flavin prenyltransferase [EC:2.5.1.129];EC:2.5.1.129;Transferases
ubiquinone biosynthesis monooxygenase Coq6 [EC:1.14.13.-];EC:1.14.13.-;No informacion
2-methoxy-6-polyprenyl-1,4-benzoquinol methylase [EC:2.1.1.201];EC:2.1.1.201;Transferases
3-demethoxyubiquinol 3-hydroxylase [EC:1.14.99.60];EC:1.14.99.60;Oxidoreductases
polyprenyldihydroxybenzoate methyltransferase / 3-demethylubiquinol 3-O-methyltransferase [EC:2.1.1.114 2.1.1.64];EC:2.1.1.114 2.1.1.64;Transferases
F-type H+-transporting ATPase subunit 8;8;No informacion
inorganic pyrophosphatase [EC:3.6.1.1];EC:3.6.1.1;Hydrolases
H+-transporting ATPase [EC:7.1.2.1];EC:7.1.2.1;Translocases
glutamine synthetase [EC:6.3.1.2];EC:6.3.1.2;Ligases
glutamate dehydrogenase [EC:1.4.1.2];EC:1.4.1.2;Oxidoreductases
glutamate dehydrogenase (NADP+) [EC:1.4.1.4];EC:1.4.1.4;Oxidoreductases
aspartate aminotransferase, mitochondrial [EC:2.6.1.1];EC:2.6.1.1;Transferases
amino-acid N-acetyltransferase [EC:2.3.1.1];EC:2.3.1.1;Transferases
alanine transaminase [EC:2.6.1.2];EC:2.6.1.2;Transferases
N-acetyl-gamma-glutamyl-phosphate reductase / acetylglutamate kinase [EC:1.2.1.38 2.7.2.8];EC:1.2.1.38 2.7.2.8;Oxidoreductases
acetylornithine aminotransferase [EC:2.6.1.11];EC:2.6.1.11;Transferases
glutamate N-acetyltransferase / amino-acid N-acetyltransferase [EC:2.3.1.35 2.3.1.1];EC:2.3.1.35 2.3.1.1;Transferases
arginase [EC:3.5.3.1];EC:3.5.3.1;Hydrolases
ornithine carbamoyltransferase [EC:2.1.3.3];EC:2.1.3.3;Transferases
urea carboxylase / allophanate hydrolase [EC:6.3.4.6 3.5.1.54];EC:6.3.4.6 3.5.1.54;Ligases
argininosuccinate synthase [EC:6.3.4.5];EC:6.3.4.5;Ligases
argininosuccinate lyase [EC:4.3.2.1];EC:4.3.2.1;Lyases
ADP-ribose pyrophosphatase [EC:3.6.1.13];EC:3.6.1.13;Hydrolases
amidophosphoribosyltransferase [EC:2.4.2.14];EC:2.4.2.14;Transferases
phosphoribosylamine--glycine ligase / phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.4.13 6.3.3.1];EC:6.3.4.13 6.3.3.1;Ligases
phosphoribosylglycinamide formyltransferase [EC:2.1.2.2];EC:2.1.2.2;Transferases
phosphoribosylformylglycinamidine synthase [EC:6.3.5.3];EC:6.3.5.3;Ligases
phosphoribosylaminoimidazole carboxylase [EC:4.1.1.21];EC:4.1.1.21;Lyases
phosphoribosylaminoimidazole-succinocarboxamide synthase [EC:6.3.2.6];EC:6.3.2.6;Ligases
adenylosuccinate lyase [EC:4.3.2.2];EC:4.3.2.2;Lyases
adenine phosphoribosyltransferase [EC:2.4.2.7];EC:2.4.2.7;Transferases
phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10];EC:2.1.2.3 3.5.4.10;Transferases
sulfate adenylyltransferase (ADP) / ATP adenylyltransferase [EC:2.7.7.5 2.7.7.53];EC:2.7.7.5 2.7.7.53;Transferases
bis(5'-adenosyl)-triphosphatase [EC:3.6.1.29];EC:3.6.1.29;Hydrolases
sulfate adenylyltransferase [EC:2.7.7.4];EC:2.7.7.4;Transferases
adenylylsulfate kinase [EC:2.7.1.25];EC:2.7.1.25;Transferases
nucleoside-diphosphate kinase [EC:2.7.4.6];EC:2.7.4.6;Transferases
inosine triphosphate pyrophosphatase [EC:3.6.1.-];EC:3.6.1.-;No informacion
AMP deaminase [EC:3.5.4.6];EC:3.5.4.6;Hydrolases
adenylosuccinate synthase [EC:6.3.4.4];EC:6.3.4.4;Ligases
golgi apyrase [EC:3.6.1.5];EC:3.6.1.5;Hydrolases
IMP dehydrogenase [EC:1.1.1.205];EC:1.1.1.205;Oxidoreductases
hypoxanthine phosphoribosyltransferase [EC:2.4.2.8];EC:2.4.2.8;Transferases
adenosine deaminase [EC:3.5.4.4];EC:3.5.4.4;Hydrolases
purine-nucleoside phosphorylase [EC:2.4.2.1];EC:2.4.2.1;Transferases
adenylate kinase [EC:2.7.4.3];EC:2.7.4.3;Transferases
adenosine kinase [EC:2.7.1.20];EC:2.7.1.20;Transferases
ribonucleoside-diphosphate reductase subunit M1 [EC:1.17.4.1];EC:1.17.4.1;Oxidoreductases
adenylate cyclase [EC:4.6.1.1];EC:4.6.1.1;Lyases
3',5'-cyclic-nucleotide phosphodiesterase [EC:3.1.4.17];EC:3.1.4.17;Hydrolases
ureidoglycolate lyase [EC:4.3.2.3];EC:4.3.2.3;Lyases
allantoicase [EC:3.5.3.4];EC:3.5.3.4;Hydrolases
allantoinase [EC:3.5.2.5];EC:3.5.2.5;Hydrolases
GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2];EC:6.3.5.2;Ligases
guanine deaminase [EC:3.5.4.3];EC:3.5.4.3;Hydrolases
guanylate kinase [EC:2.7.4.8];EC:2.7.4.8;Transferases
IMP and pyridine-specific 5'-nucleotidase [EC:3.1.3.99 3.1.3.-];EC:3.1.3.99 3.1.3.-;Hydrolases
carbamoyl-phosphate synthase / aspartate carbamoyltransferase [EC:6.3.5.5 2.1.3.2];EC:6.3.5.5 2.1.3.2;Ligases
dihydroorotase [EC:3.5.2.3];EC:3.5.2.3;Hydrolases
dihydroorotate dehydrogenase (fumarate) [EC:1.3.98.1];EC:1.3.98.1;Oxidoreductases
orotate phosphoribosyltransferase [EC:2.4.2.10];EC:2.4.2.10;Transferases
orotidine-5'-phosphate decarboxylase [EC:4.1.1.23];EC:4.1.1.23;Lyases
uridine kinase [EC:2.7.1.48];EC:2.7.1.48;Transferases
uracil phosphoribosyltransferase [EC:2.4.2.9];EC:2.4.2.9;Transferases
UMP-CMP kinase [EC:2.7.4.14];EC:2.7.4.14;Transferases
CTP synthase [EC:6.3.4.2];EC:6.3.4.2;Ligases
cytidine deaminase [EC:3.5.4.5];EC:3.5.4.5;Hydrolases
uridine nucleosidase [EC:3.2.2.3];EC:3.2.2.3;Hydrolases
cytosine/creatinine deaminase [EC:3.5.4.1 3.5.4.21];EC:3.5.4.1 3.5.4.21;Hydrolases
dCMP deaminase [EC:3.5.4.12];EC:3.5.4.12;Hydrolases
thymidylate synthase [EC:2.1.1.45];EC:2.1.1.45;Transferases
dTMP kinase [EC:2.7.4.9];EC:2.7.4.9;Transferases
dUTP pyrophosphatase [EC:3.6.1.23];EC:3.6.1.23;Hydrolases
glutamate synthase (NADH) [EC:1.4.1.14];EC:1.4.1.14;Oxidoreductases
omega-amidase [EC:3.5.1.3];EC:3.5.1.3;Hydrolases
glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2.6.1.16];EC:2.6.1.16;Transferases
1-pyrroline-5-carboxylate dehydrogenase [EC:1.2.1.88];EC:1.2.1.88;Oxidoreductases
glutamate decarboxylase [EC:4.1.1.15];EC:4.1.1.15;Lyases
4-aminobutyrate aminotransferase / (S)-3-amino-2-methylpropionate transaminase [EC:2.6.1.19 2.6.1.22];EC:2.6.1.19 2.6.1.22;Transferases
