Nombre;Codigo;Clase
aldose 1-epimerase [EC:5.1.3.3];EC:5.1.3.3;Isomerases
glucokinase [EC:2.7.1.2];EC:2.7.1.2;Transferases
glucose/mannose-6-phosphate isomerase [EC:5.3.1.9 5.3.1.8];EC:5.3.1.9 5.3.1.8;Isomerases
phosphomannomutase / phosphoglucomutase [EC:5.4.2.8 5.4.2.2];EC:5.4.2.8 5.4.2.2;Isomerases
fructose 1,6-bisphosphate aldolase/phosphatase [EC:4.1.2.13 3.1.3.11];EC:4.1.2.13 3.1.3.11;Lyases
triosephosphate isomerase (TIM) [EC:5.3.1.1];EC:5.3.1.1;Isomerases
pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1];EC:1.2.4.1;Oxidoreductases
pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12];EC:2.3.1.12;Transferases
dihydrolipoamide dehydrogenase [EC:1.8.1.4];EC:1.8.1.4;Oxidoreductases
pyruvate kinase [EC:2.7.1.40];EC:2.7.1.40;Transferases
enolase [EC:4.2.1.11];EC:4.2.1.11;Lyases
aldehyde dehydrogenase (NAD+) [EC:1.2.1.3];EC:1.2.1.3;Oxidoreductases
acetate---CoA ligase (ADP-forming) [EC:6.2.1.13];EC:6.2.1.13;Ligases
phosphoglycerate kinase [EC:2.7.2.3];EC:2.7.2.3;Transferases
glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) [EC:1.2.1.59];EC:1.2.1.59;Oxidoreductases
phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32];EC:4.1.1.32;Lyases
2-oxoisovalerate/pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.7 1.2.7.1];EC:1.2.7.7 1.2.7.1;Oxidoreductases
acetyl-CoA synthetase [EC:6.2.1.1];EC:6.2.1.1;Ligases
2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12];EC:5.4.2.12;Isomerases
2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11];EC:1.2.7.3 1.2.7.11;Oxidoreductases
citrate synthase [EC:2.3.3.1];EC:2.3.3.1;Transferases
malate dehydrogenase [EC:1.1.1.37];EC:1.1.1.37;Oxidoreductases
fumarate hydratase, class II [EC:4.2.1.2];EC:4.2.1.2;Lyases
