;n;enzima;gen;nob_Keeg;path;link
1;'14';fructose 1,6-bisphosphate aldolase/phosphatase [EC:4.1.2.13 3.1.3.11];(GenBank);sai:Saci_0671;sai00010;http://www.kegg.jp/dbget-bin/www_bget?sai:Saci_0671
1;14;fructose 1,6-bisphosphate aldolase/phosphatase [EC:4.1.2.13 3.1.3.11];(GenBank);sai:Saci_0671;sai00010;http://www.kegg.jp/dbget-bin/www_bget?sai:Saci_0671
2;38;aldehyde dehydrogenase (NAD+) [EC:1.2.1.3];(GenBank);sai:Saci_1857;sai00010;http://www.kegg.jp/dbget-bin/www_bget?sai:Saci_1857
3;46;alcohol dehydrogenase [EC:1.1.1.1];adh;sai:Saci_1115;sai00010;http://www.kegg.jp/dbget-bin/www_bget?sai:Saci_1115+sai:Saci_2057+sai:Saci_2126+sai:Saci_2205+sai:Saci_2224
4;53;pyruvate kinase [EC:2.7.1.40];(GenBank);sai:Saci_1648;sai00010;http://www.kegg.jp/dbget-bin/www_bget?sai:Saci_1648
5;55;enolase [EC:4.2.1.11];eno;sai:Saci_1377;sai00010;http://www.kegg.jp/dbget-bin/www_bget?sai:Saci_1377
6;58;triosephosphate isomerase (TIM) [EC:5.3.1.1];tpiA;sai:Saci_0117;sai00010;http://www.kegg.jp/dbget-bin/www_bget?sai:Saci_0117
7;60;fructose 1,6-bisphosphate aldolase/phosphatase [EC:4.1.2.13 3.1.3.11];(GenBank);sai:Saci_0671;sai00010;http://www.kegg.jp/dbget-bin/www_bget?sai:Saci_0671
8;62;glucose/mannose-6-phosphate isomerase [EC:5.3.1.9 5.3.1.8];(GenBank);sai:Saci_0151;sai00010;http://www.kegg.jp/dbget-bin/www_bget?sai:Saci_0151
9;63;phosphomannomutase / phosphoglucomutase [EC:5.4.2.8 5.4.2.2];(GenBank);sai:Saci_0806;sai00010;http://www.kegg.jp/dbget-bin/www_bget?sai:Saci_0806
10;64;glucose/mannose-6-phosphate isomerase [EC:5.3.1.9 5.3.1.8];(GenBank);sai:Saci_0151;sai00010;http://www.kegg.jp/dbget-bin/www_bget?sai:Saci_0151
11;67;glucose/mannose-6-phosphate isomerase [EC:5.3.1.9 5.3.1.8];(GenBank);sai:Saci_0151;sai00010;http://www.kegg.jp/dbget-bin/www_bget?sai:Saci_0151
12;69;aldose 1-epimerase [EC:5.1.3.3];(GenBank);sai:Saci_2185;sai00010;http://www.kegg.jp/dbget-bin/www_bget?sai:Saci_2185
13;75;dihydrolipoamide dehydrogenase [EC:1.8.1.4];lpdV;sai:Saci_0136;sai00010;http://www.kegg.jp/dbget-bin/www_bget?sai:Saci_0136+sai:Saci_0338
14;76;phosphoglycerate kinase [EC:2.7.2.3];pgk;sai:Saci_1355;sai00010;http://www.kegg.jp/dbget-bin/www_bget?sai:Saci_1355
15;112;phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32];(GenBank);sai:Saci_1100;sai00010;http://www.kegg.jp/dbget-bin/www_bget?sai:Saci_1100
16;119;glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) [EC:1.2.1.59];(GenBank);sai:Saci_1356;sai00010;http://www.kegg.jp/dbget-bin/www_bget?sai:Saci_1356
17;124;pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1];(GenBank);sai:Saci_1088;sai00010;http://www.kegg.jp/dbget-bin/www_bget?sai:Saci_1088+sai:Saci_2250+sai:Saci_2251+sai:Saci_2252+sai:Saci_2253
18;131;acetyl-CoA synthetase [EC:6.2.1.1];(GenBank);sai:Saci_0025;sai00010;http://www.kegg.jp/dbget-bin/www_bget?sai:Saci_0025+sai:Saci_0306+sai:Saci_1774+sai:Saci_2062+sai:Saci_2235+sai:Saci_2298
19;137;probable phosphoglycerate mutase [EC:5.4.2.12];(GenBank);sai:Saci_0043;sai00010;http://www.kegg.jp/dbget-bin/www_bget?sai:Saci_0043+sai:Saci_0837
20;142;glyceraldehyde-3-phosphate dehydrogenase [NAD(P)+] [EC:1.2.1.90];(GenBank);sai:Saci_0227;sai00010;http://www.kegg.jp/dbget-bin/www_bget?sai:Saci_0227
21;144;2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11];korB;sai:Saci_0208;sai00010;http://www.kegg.jp/dbget-bin/www_bget?sai:Saci_0208+sai:Saci_0209+sai:Saci_2306+sai:Saci_2307
22;28;dihydrolipoamide dehydrogenase [EC:1.8.1.4];lpdV;sai:Saci_0136;sai00020;http://www.kegg.jp/dbget-bin/www_bget?sai:Saci_0136+sai:Saci_0338
23;32;succinyl-CoA synthetase beta subunit [EC:6.2.1.5];sucC;sai:Saci_1265;sai00020;http://www.kegg.jp/dbget-bin/www_bget?sai:Saci_1265+sai:Saci_1266
24;34;isocitrate dehydrogenase [EC:1.1.1.42];icd;sai:Saci_2375;sai00020;http://www.kegg.jp/dbget-bin/www_bget?sai:Saci_2375
25;36;isocitrate dehydrogenase [EC:1.1.1.42];icd;sai:Saci_2375;sai00020;http://www.kegg.jp/dbget-bin/www_bget?sai:Saci_2375
26;38;fumarate hydratase, class II [EC:4.2.1.2];fumC;sai:Saci_0122;sai00020;http://www.kegg.jp/dbget-bin/www_bget?sai:Saci_0122
27;39;aconitate hydratase [EC:4.2.1.3];acnA;sai:Saci_1214;sai00020;http://www.kegg.jp/dbget-bin/www_bget?sai:Saci_1214
28;40;aconitate hydratase [EC:4.2.1.3];acnA;sai:Saci_1214;sai00020;http://www.kegg.jp/dbget-bin/www_bget?sai:Saci_1214
29;41;citrate synthase [EC:2.3.3.1];cisY;sai:Saci_0243;sai00020;http://www.kegg.jp/dbget-bin/www_bget?sai:Saci_0243
30;42;malate dehydrogenase [EC:1.1.1.37];(GenBank);sai:Saci_0246;sai00020;http://www.kegg.jp/dbget-bin/www_bget?sai:Saci_0246
31;80;dihydrolipoamide dehydrogenase [EC:1.8.1.4];lpdV;sai:Saci_0136;sai00020;http://www.kegg.jp/dbget-bin/www_bget?sai:Saci_0136+sai:Saci_0338
32;87;phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32];(GenBank);sai:Saci_1100;sai00020;http://www.kegg.jp/dbget-bin/www_bget?sai:Saci_1100
33;92;succinate dehydrogenase / fumarate reductase, subunit D;sdhD;sai:Saci_0979;sai00020;http://www.kegg.jp/dbget-bin/www_bget?sai:Saci_0979+sai:Saci_0980+sai:Saci_0981+sai:Saci_0982
34;95;succinate dehydrogenase / fumarate reductase, subunit D;sdhD;sai:Saci_0979;sai00020;http://www.kegg.jp/dbget-bin/www_bget?sai:Saci_0979+sai:Saci_0980+sai:Saci_0981+sai:Saci_0982
35;99;2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11];korB;sai:Saci_0208;sai00020;http://www.kegg.jp/dbget-bin/www_bget?sai:Saci_0208+sai:Saci_0209+sai:Saci_2306+sai:Saci_2307
36;101;pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1];(GenBank);sai:Saci_1088;sai00020;http://www.kegg.jp/dbget-bin/www_bget?sai:Saci_1088+sai:Saci_2250+sai:Saci_2251+sai:Saci_2252+sai:Saci_2253
37;102;2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11];korB;sai:Saci_0208;sai00020;http://www.kegg.jp/dbget-bin/www_bget?sai:Saci_0208+sai:Saci_0209+sai:Saci_2306+sai:Saci_2307
38;103;2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11];korB;sai:Saci_0208;sai00020;http://www.kegg.jp/dbget-bin/www_bget?sai:Saci_0208+sai:Saci_0209+sai:Saci_2306+sai:Saci_2307
39;37;glucose/mannose-6-phosphate isomerase [EC:5.3.1.9 5.3.1.8];(GenBank);sai:Saci_0151;sai00030;http://www.kegg.jp/dbget-bin/www_bget?sai:Saci_0151
40;40;ribokinase [EC:2.7.1.15];rbsK;sai:Saci_0272;sai00030;http://www.kegg.jp/dbget-bin/www_bget?sai:Saci_0272+sai:Saci_0553
41;43;ribose-phosphate pyrophosphokinase [EC:2.7.6.1];(GenBank);sai:Saci_1282;sai00030;http://www.kegg.jp/dbget-bin/www_bget?sai:Saci_1282
42;45;ribokinase [EC:2.7.1.15];rbsK;sai:Saci_0272;sai00030;http://www.kegg.jp/dbget-bin/www_bget?sai:Saci_0272+sai:Saci_0553
43;46;transketolase [EC:2.2.1.1];(GenBank);sai:Saci_0180;sai00030;http://www.kegg.jp/dbget-bin/www_bget?sai:Saci_0180+sai:Saci_0181
44;47;ribose 5-phosphate isomerase A [EC:5.3.1.6];rpiA;sai:Saci_1301;sai00030;http://www.kegg.jp/dbget-bin/www_bget?sai:Saci_1301
45;49;transketolase [EC:2.2.1.1];(GenBank);sai:Saci_0180;sai00030;http://www.kegg.jp/dbget-bin/www_bget?sai:Saci_0180+sai:Saci_0181
46;50;fructose 1,6-bisphosphate aldolase/phosphatase [EC:4.1.2.13 3.1.3.11];(GenBank);sai:Saci_0671;sai00030;http://www.kegg.jp/dbget-bin/www_bget?sai:Saci_0671
47;52;fructose 1,6-bisphosphate aldolase/phosphatase [EC:4.1.2.13 3.1.3.11];(GenBank);sai:Saci_0671;sai00030;http://www.kegg.jp/dbget-bin/www_bget?sai:Saci_0671
48;53;glucose/mannose-6-phosphate isomerase [EC:5.3.1.9 5.3.1.8];(GenBank);sai:Saci_0151;sai00030;http://www.kegg.jp/dbget-bin/www_bget?sai:Saci_0151
49;63;gluconate/galactonate dehydratase [EC:4.2.1.140];(GenBank);sai:Saci_0885;sai00030;http://www.kegg.jp/dbget-bin/www_bget?sai:Saci_0885
50;78;phosphomannomutase / phosphoglucomutase [EC:5.4.2.8 5.4.2.2];(GenBank);sai:Saci_0806;sai00030;http://www.kegg.jp/dbget-bin/www_bget?sai:Saci_0806
51;84;2-dehydro-3-deoxy-phosphogluconate/2-dehydro-3-deoxy-6-phosphogalactonate aldolase [EC:4.1.2.55];(GenBank);sai:Saci_0225;sai00030;http://www.kegg.jp/dbget-bin/www_bget?sai:Saci_0225
52;88;glycerate 2-kinase [EC:2.7.1.165];(GenBank);sai:Saci_0113;sai00030;http://www.kegg.jp/dbget-bin/www_bget?sai:Saci_0113
53;91;2-dehydro-3-deoxy-phosphogluconate/2-dehydro-3-deoxy-6-phosphogalactonate aldolase [EC:4.1.2.55];(GenBank);sai:Saci_0225;sai00030;http://www.kegg.jp/dbget-bin/www_bget?sai:Saci_0225
54;135;3-hexulose-6-phosphate synthase [EC:4.1.2.43];(GenBank);sai:Saci_0802;sai00030;http://www.kegg.jp/dbget-bin/www_bget?sai:Saci_0802
55;137;6-phospho-3-hexuloisomerase [EC:5.3.1.27];(GenBank);sai:Saci_0747;sai00030;http://www.kegg.jp/dbget-bin/www_bget?sai:Saci_0747
56;143;glyceraldehyde dehydrogenase medium subunit [EC:1.2.99.8];cutB;sai:Saci_2269;sai00030;http://www.kegg.jp/dbget-bin/www_bget?sai:Saci_2269+sai:Saci_2270+sai:Saci_2271
57;150;aldose 1-dehydrogenase [NAD(P)+] [EC:1.1.1.359];(GenBank);sai:Saci_1079;sai00030;http://www.kegg.jp/dbget-bin/www_bget?sai:Saci_1079
58;151;2-dehydro-3-deoxygluconokinase / 2-dehydro-3-deoxygalactonokinase [EC:2.7.1.178];kdgK;sai:Saci_0226;sai00030;http://www.kegg.jp/dbget-bin/www_bget?sai:Saci_0226
59;155;glyceraldehyde-3-phosphate dehydrogenase [NAD(P)+] [EC:1.2.1.90];(GenBank);sai:Saci_0227;sai00030;http://www.kegg.jp/dbget-bin/www_bget?sai:Saci_0227
60;84;xylulokinase [EC:2.7.1.17];(GenBank);sai:Saci_1058;sai00040;http://www.kegg.jp/dbget-bin/www_bget?sai:Saci_1058
61;92;xylono-1,5-lactonase [EC:3.1.1.110];(GenBank);sai:Saci_1674;sai00040;http://www.kegg.jp/dbget-bin/www_bget?sai:Saci_1674
62;215;L-iditol 2-dehydrogenase [EC:1.1.1.14];(GenBank);sai:Saci_0410;sai00040;http://www.kegg.jp/dbget-bin/www_bget?sai:Saci_0410
63;222;2-dehydro-3-deoxy-D-arabinonate dehydratase [EC:4.2.1.141];(GenBank);sai:Saci_1939;sai00040;http://www.kegg.jp/dbget-bin/www_bget?sai:Saci_1939
64;224;2,5-dioxopentanoate dehydrogenase [EC:1.2.1.26];(GenBank);sai:Saci_1700;sai00040;http://www.kegg.jp/dbget-bin/www_bget?sai:Saci_1700+sai:Saci_1938
65;58;L-iditol 2-dehydrogenase [EC:1.1.1.14];(GenBank);sai:Saci_0410;sai00051;http://www.kegg.jp/dbget-bin/www_bget?sai:Saci_0410
66;78;glucose/mannose-6-phosphate isomerase [EC:5.3.1.9 5.3.1.8];(GenBank);sai:Saci_0151;sai00051;http://www.kegg.jp/dbget-bin/www_bget?sai:Saci_0151
67;79;phosphomannomutase / phosphoglucomutase [EC:5.4.2.8 5.4.2.2];(GenBank);sai:Saci_0806;sai00051;http://www.kegg.jp/dbget-bin/www_bget?sai:Saci_0806
68;84;mannose-1-phosphate guanylyltransferase [EC:2.7.7.13];mpg1;sai:Saci_0196;sai00051;http://www.kegg.jp/dbget-bin/www_bget?sai:Saci_0196
69;93;triosephosphate isomerase (TIM) [EC:5.3.1.1];tpiA;sai:Saci_0117;sai00051;http://www.kegg.jp/dbget-bin/www_bget?sai:Saci_0117
70;94;fructose 1,6-bisphosphate aldolase/phosphatase [EC:4.1.2.13 3.1.3.11];(GenBank);sai:Saci_0671;sai00051;http://www.kegg.jp/dbget-bin/www_bget?sai:Saci_0671
71;96;fructose 1,6-bisphosphate aldolase/phosphatase [EC:4.1.2.13 3.1.3.11];(GenBank);sai:Saci_0671;sai00051;http://www.kegg.jp/dbget-bin/www_bget?sai:Saci_0671
72;105;fructose 1,6-bisphosphate aldolase/phosphatase [EC:4.1.2.13 3.1.3.11];(GenBank);sai:Saci_0671;sai00051;http://www.kegg.jp/dbget-bin/www_bget?sai:Saci_0671
73;64;alpha-glucosidase [EC:3.2.1.20];malA;sai:Saci_1160;sai00052;http://www.kegg.jp/dbget-bin/www_bget?sai:Saci_1160
