Nombre;N_nodos;N_edges;grado_promedio;densidad;reciprocidad;asortatividad;intermediacion_grupo;cercania_grupo;transitividad;cluster_promedio;H;glycine hydroxymethyltransferase [EC:2.1.2.1]_x;glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2.6.1.16]_x;adenylosuccinate lyase [EC:4.3.2.2]_x;transketolase [EC:2.2.1.1]_x;adenylosuccinate lyase [EC:4.3.2.2]_y;glutamine synthetase [EC:6.3.1.2];spermidine synthase [EC:2.5.1.16];glycine hydroxymethyltransferase [EC:2.1.2.1]_y;glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2.6.1.16]_y;adenylosuccinate lyase [EC:4.3.2.2];%cero;%positivo;%negativo;%receptor;%transmisor;%ordinario;enolase [EC:4.2.1.11];transketolase [EC:2.2.1.1]_y;triosephosphate isomerase (TIM) [EC:5.3.1.1]
sai;276;485;1.7572463768115942;0.012779973649538867;0.24742268041237114;0.32797906114493103;0.029346673216188633;0.15418120451591133;0.2128623188405797;0.23457530794487336;4.273770673991118;3;2;4;0.000867064808670648;0.0012209688122096882;5.3085600530856004e-05;0.00015925680159256802;4;2;1;29.347826086956523;35.14492753623188;35.507246376811594;15.942028985507244;15.579710144927535;68.47826086956522;0.09812544045102184;0.022229845626072043;0.020313479623824453
tac;240;471;1.9625;0.016422594142259415;0.2802547770700637;0.3671958835019515;0.04333218059906584;0.13951395074250017;0.30269413629160064;0.30216209716209713;4.497441868565382;7;2;4;0.0010929057815594857;0.027747500673909704;0.00043657630416183216;0.00019338279244752294;7;4;1;29.166666666666668;35.41666666666667;35.41666666666667;17.916666666666668;15.833333333333332;66.25;0.0921650168384529;0.025627615062761507;0.02000204102459435
eco;682;1811;2.655425219941349;0.0077986056385942705;0.1921590281612369;0.3135227670146287;0.08385607159571479;0.12780217919804845;0.2501788695444789;0.34352223429385775;5.420439905836919;7;3;7;0.009916614147672054;0.006400296902602469;0.003217385450153008;0.017340131843241447;13;7;4;25.073313782991203;37.683284457478;37.24340175953079;12.316715542521994;12.316715542521994;75.366568914956;0.09328689661499064;0.029134478282151145;0.022909162409896624
hsa;803;3066;3.8181818181818183;0.00952165041940603;0.2700587084148728;0.24058494883889567;0.08018776513234482;0.1594069495292594;0.2747312358220732;0.42721855699780237;6.289381342658643;11;5;9;0.007257936382791305;0.004745597521497716;0.003452632937172238;0.006425493911995174;19;5;6;17.80821917808219;40.59775840597759;41.59402241594022;9.838107098381071;8.966376089663761;81.19551681195517;0.11267693603651506;0.08935010642147528;0.08346824579953321
ptr;811;3059;3.7718865598027125;0.009313300147661019;0.2641386073880353;0.23962929322534202;0.08271857855457948;0.15934513030479314;0.27813488924050633;0.43166248416505254;6.248137984536969;11;5;9;0.006970053990130418;0.00497269696750942;0.003398436480348084;0.006178020958693315;19;5;6;17.879161528976574;40.5672009864365;41.55363748458693;9.864364981504316;9.3711467324291;80.76448828606658;0.11151153904936573;0.08705511400342573;0.08104393406441823
ath;787;2069;2.6289707750952984;0.006689493066400251;0.24552924117931368;0.26288026301331113;0.0776242361176276;0.10251295614101529;0.26346718903036237;0.392949659653449;5.513960672376682;9;4;5;0.045337504630784224;0.007483325694356952;0.018339347968500504;0.0025746653913748772;12;6;5;23.252858958068614;39.26302414231258;37.484116899618805;13.087674714104194;12.325285895806863;74.58703939008895;0.0723932617719585;0.06127456573747609;0.05409790099422171
mmu;796;2953;3.709798994974874;0.009332827660314149;0.26346088723332206;0.20995518039610112;0.08409898916922746;0.15651907073431393;0.2753592108084924;0.42377333020270586;6.197750321586485;11;5;9;0.00891679898440952;0.005941485263012446;0.003534575865666193;0.006281503654344355;20;5;6;18.341708542713565;40.07537688442211;41.58291457286432;9.42211055276382;9.045226130653267;81.53266331658291;0.11273729557995066;0.11143726632466742;0.08636388140161726
cac;414;877;2.1183574879227054;0.010258389772022786;0.21664766248574688;0.35946572354786555;0.05944255833308647;0.11574947665938137;0.23658352229780802;0.2874511291177956;4.8879605594110975;6;3;5;0.0035271414802550884;0.00869410616730723;0.00014986247913679213;0.0008697900749900092;8;6;2;28.26086956521739;35.507246376811594;36.231884057971016;15.942028985507244;13.768115942028986;70.28985507246377;0.08146660879117713;0.03661523734444507;0.027990314769975787
cel;483;1373;2.8426501035196687;0.01179522864530983;0.26802621995630005;0.2674026916072195;0.06733350379640422;0.16283852641222846;0.2615949282615949;0.3505462596668407;5.5773132954857925;11;5;5;0.009546033841649638;0.012575086804793316;0.0027623502744095084;0.0012551651555800934;13;6;5;19.875776397515526;39.130434782608695;40.993788819875775;12.836438923395447;13.664596273291925;73.49896480331263;0.10378949792030592;0.063551521567042;0.05830434714901942
dme;522;1437;2.7528735632183907;0.010567652833851788;0.2686151704940849;0.2376609002401302;0.08991544623275738;0.14491842140183397;0.23999338405557394;0.3616724396926465;5.467035268526501;11;5;7;0.006417075021701237;0.01375573086586429;0.0019361505829104011;0.0005647423593680792;15;6;5;20.88122605363985;40.03831417624521;39.08045977011494;12.835249042145595;12.452107279693486;74.71264367816092;0.10340829024470512;0.06312540780994748;0.06045039052849623
lma;288;592;2.0555555555555554;0.014324428958575301;0.25;0.33222740178733967;0.08524290621600289;0.14630158657201423;0.2335972850678733;0.280523064898065;4.799791802000828;4;4;4;0.011831593815463604;0.0058619595482123175;0.019679065076959868;0.015888318834794597;8;4;3;22.569444444444446;39.93055555555556;37.5;17.708333333333336;18.75;63.541666666666664;0.09117477269447251;0.034884685581549696;0.02639922152117274
