Origen;Destino
EC:5.1.3.3;alpha-D-glucose [CPD:C00267]
beta-D-glucose [CPD:C00221];EC:5.1.3.3
EC:2.7.1.1;"ATP [CPD:C00002];"
EC:2.7.1.1;D-hexose [CPD:C00738]
"ADP [CPD:C00008];";EC:2.7.1.1
D-hexose 6-phosphate [CPD:C02965];EC:2.7.1.1
EC:3.1.3.9;"D-glucose 6-phosphate [CPD:C00092];"
EC:3.1.3.9;H2O [CPD:C00001]
"D-glucose [CPD:C00031];";EC:3.1.3.9
phosphate [CPD:C00009];EC:3.1.3.9
EC:5.3.1.9;D-glucose 6-phosphate [CPD:C00092]
D-fructose 6-phosphate [CPD:C00085];EC:5.3.1.9
EC:5.1.3.15;alpha-D-glucose 6-phosphate [CPD:C00668]
beta-D-glucose 6-phosphate [CPD:C01172];EC:5.1.3.15
EC:5.4.2.2 5.4.2.7;alpha-D-glucose 1-phosphate [CPD:C00103]
D-glucose 6-phosphate [CPD:C00092];EC:5.4.2.2 5.4.2.7
EC:3.1.3.11;"D-fructose 1,6-bisphosphate [CPD:C00354];"
EC:3.1.3.11;H2O [CPD:C00001]
"D-fructose 6-phosphate [CPD:C00085];";EC:3.1.3.11
phosphate [CPD:C00009];EC:3.1.3.11
EC:2.7.1.11;"ATP [CPD:C00002];"
EC:2.7.1.11;D-fructose 6-phosphate [CPD:C00085]
"ADP [CPD:C00008];";EC:2.7.1.11
D-fructose 1,6-bisphosphate [CPD:C00354];EC:2.7.1.11
EC:4.1.2.13;D-fructose 1,6-bisphosphate [CPD:C00354]
"glycerone phosphate [CPD:C00111];";EC:4.1.2.13
D-glyceraldehyde 3-phosphate [CPD:C00118];EC:4.1.2.13
EC:5.3.1.1;D-glyceraldehyde 3-phosphate [CPD:C00118]
glycerone phosphate [CPD:C00111];EC:5.3.1.1
EC:1.2.1.12;"D-glyceraldehyde 3-phosphate [CPD:C00118];"
EC:1.2.1.12;"phosphate [CPD:C00009];"
EC:1.2.1.12;NAD+ [CPD:C00003]
"3-phospho-D-glyceroyl phosphate [CPD:C00236];";EC:1.2.1.12
"NADH [CPD:C00004];";EC:1.2.1.12
H+ [CPD:C00080];EC:1.2.1.12
EC:2.7.2.3;"ATP [CPD:C00002];"
EC:2.7.2.3;3-phospho-D-glycerate [CPD:C00197]
"ADP [CPD:C00008];";EC:2.7.2.3
3-phospho-D-glyceroyl phosphate [CPD:C00236];EC:2.7.2.3
EC:5.4.2.11;"2-phospho-D-glycerate [CPD:C00631];"
