Origen;Destino
EC:2.7.1.2;"ATP [CPD:C00002];"
EC:2.7.1.2;D-glucose [CPD:C00031]
"ADP [CPD:C00008];";EC:2.7.1.2
D-glucose 6-phosphate [CPD:C00092];EC:2.7.1.2
EC:3.1.3.10;"alpha-D-glucose 1-phosphate [CPD:C00103];"
EC:3.1.3.10;H2O [CPD:C00001]
"D-glucose [CPD:C00031];";EC:3.1.3.10
phosphate [CPD:C00009];EC:3.1.3.10
EC:5.1.3.3;alpha-D-glucose [CPD:C00267]
beta-D-glucose [CPD:C00221];EC:5.1.3.3
EC:3.2.1.86;"6-phospho-beta-D-glucosyl-(1,4)-D-glucose [CPD:C04534];"
EC:3.2.1.86;H2O [CPD:C00001]
"D-glucose [CPD:C00031];";EC:3.2.1.86
D-glucose 6-phosphate [CPD:C00092];EC:3.2.1.86
EC:5.3.1.9;D-glucose 6-phosphate [CPD:C00092]
D-fructose 6-phosphate [CPD:C00085];EC:5.3.1.9
EC:5.1.3.15;alpha-D-glucose 6-phosphate [CPD:C00668]
beta-D-glucose 6-phosphate [CPD:C01172];EC:5.1.3.15
EC:2.7.1.199;"[protein]-Npi-phospho-L-histidine [CPD:C04261];"
EC:2.7.1.199;D-glucose[side 1] [CPD:C00031]
"[protein]-L-histidine [CPD:C00615];";EC:2.7.1.199
D-glucose 6-phosphate[side 2] [CPD:C00092];EC:2.7.1.199
EC:5.4.2.2;alpha-D-glucose 1-phosphate [CPD:C00103]
D-glucose 6-phosphate [CPD:C00092];EC:5.4.2.2
EC:3.1.3.11;"D-fructose 1,6-bisphosphate [CPD:C00354];"
EC:3.1.3.11;H2O [CPD:C00001]
"D-fructose 6-phosphate [CPD:C00085];";EC:3.1.3.11
phosphate [CPD:C00009];EC:3.1.3.11
EC:2.7.1.11;"ATP [CPD:C00002];"
EC:2.7.1.11;D-fructose 6-phosphate [CPD:C00085]
"ADP [CPD:C00008];";EC:2.7.1.11
D-fructose 1,6-bisphosphate [CPD:C00354];EC:2.7.1.11
EC:4.1.2.13;D-fructose 1,6-bisphosphate [CPD:C00354]
"glycerone phosphate [CPD:C00111];";EC:4.1.2.13
D-glyceraldehyde 3-phosphate [CPD:C00118];EC:4.1.2.13
EC:5.3.1.1;D-glyceraldehyde 3-phosphate [CPD:C00118]
glycerone phosphate [CPD:C00111];EC:5.3.1.1
EC:1.2.1.12;"D-glyceraldehyde 3-phosphate [CPD:C00118];"
EC:1.2.1.12;"phosphate [CPD:C00009];"
EC:1.2.1.12;NAD+ [CPD:C00003]
"3-phospho-D-glyceroyl phosphate [CPD:C00236];";EC:1.2.1.12
"NADH [CPD:C00004];";EC:1.2.1.12
H+ [CPD:C00080];EC:1.2.1.12
EC:2.7.2.3;"ATP [CPD:C00002];"
EC:2.7.2.3;3-phospho-D-glycerate [CPD:C00197]
"ADP [CPD:C00008];";EC:2.7.2.3
3-phospho-D-glyceroyl phosphate [CPD:C00236];EC:2.7.2.3
EC:5.4.2.11;"2-phospho-D-glycerate [CPD:C00631];"
EC:5.4.2.11;"[enzyme]-L-histidine;"
EC:5.4.2.11;"2,3-bisphospho-D-glycerate [CPD:C01159];"
EC:5.4.2.11;"[enzyme]-Ntau-phospho-L-histidine;"
EC:5.4.2.11;2/3-bisphospho-D-glycerate
"3-phospho-D-glycerate [CPD:C00197];";EC:5.4.2.11
"[enzyme]-Ntau-phospho-L-histidine;";EC:5.4.2.11
"2/3-phospho-D-glycerate;";EC:5.4.2.11
"[enzyme]-L-histidine;";EC:5.4.2.11
2,3-bisphospho-D-glycerate [CPD:C01159];EC:5.4.2.11
EC:4.2.1.11;2-phospho-D-glycerate [CPD:C00631]
"phosphoenolpyruvate [CPD:C00074];";EC:4.2.1.11
H2O [CPD:C00001];EC:4.2.1.11
EC:1.2.4.1;"pyruvate [CPD:C00022];"
EC:1.2.4.1;[dihydrolipoyllysine-residue acetyltransferase] lipoyllysine [CPD:C15972]
"[dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine [CPD:C16255];";EC:1.2.4.1
CO2 [CPD:C00011];EC:1.2.4.1
EC:2.3.1.12;"acetyl-CoA [CPD:C00024];"
EC:2.3.1.12;enzyme N6-(dihydrolipoyl)lysine [CPD:C15973]
"CoA [CPD:C00010];";EC:2.3.1.12
enzyme N6-(S-acetyldihydrolipoyl)lysine [CPD:C16255];EC:2.3.1.12
EC:1.8.1.4;"protein N6-(dihydrolipoyl)lysine [CPD:C16832];"
EC:1.8.1.4;NAD+ [CPD:C00003]
"protein N6-(lipoyl)lysine [CPD:C16237];";EC:1.8.1.4
"NADH [CPD:C00004];";EC:1.8.1.4
H+ [CPD:C00080];EC:1.8.1.4
EC:2.7.1.40;"ATP [CPD:C00002];"
EC:2.7.1.40;pyruvate [CPD:C00022]
"ADP [CPD:C00008];";EC:2.7.1.40
phosphoenolpyruvate [CPD:C00074];EC:2.7.1.40
EC:4.1.1.49;"ATP [CPD:C00002];"
EC:4.1.1.49;oxaloacetate [CPD:C00036]
"ADP [CPD:C00008];";EC:4.1.1.49
"phosphoenolpyruvate [CPD:C00074];";EC:4.1.1.49
CO2 [CPD:C00011];EC:4.1.1.49
EC:1.2.7.1 1.2.7.-;"pyruvate [CPD:C00022];"
EC:1.2.7.1 1.2.7.-;"CoA [CPD:C00010];"
EC:1.2.7.1 1.2.7.-;oxidized ferredoxin [CPD:C00139]
"acetyl-CoA [CPD:C00024];";EC:1.2.7.1 1.2.7.-
"CO2 [CPD:C00011];";EC:1.2.7.1 1.2.7.-
"reduced ferredoxin [CPD:C00138];";EC:1.2.7.1 1.2.7.-
H+ [CPD:C00080];EC:1.2.7.1 1.2.7.-
EC:6.2.1.1;"ATP [CPD:C00002];"
EC:6.2.1.1;"acetate [CPD:C00033];"
EC:6.2.1.1;CoA [CPD:C00010]
"AMP [CPD:C00020];";EC:6.2.1.1
"diphosphate [CPD:C00013];";EC:6.2.1.1
acetyl-CoA [CPD:C00024];EC:6.2.1.1
EC:5.4.2.12;2-phospho-D-glycerate [CPD:C00631]
3-phospho-D-glycerate [CPD:C00197];EC:5.4.2.12
EC:1.1.1.284 1.1.1.1;"S-(hydroxymethyl)glutathione [CPD:C14180];"
EC:1.1.1.284 1.1.1.1;"NAD+ [CPD:C00003];"
EC:1.1.1.284 1.1.1.1;NADP+ [CPD:C00006]
"S-formylglutathione [CPD:C01031];";EC:1.1.1.284 1.1.1.1
"NADH [CPD:C00004];";EC:1.1.1.284 1.1.1.1
"NADPH [CPD:C00005];";EC:1.1.1.284 1.1.1.1
H+ [CPD:C00080];EC:1.1.1.284 1.1.1.1
EC:2.3.3.1;"acetyl-CoA [CPD:C00024];"
EC:2.3.3.1;"H2O [CPD:C00001];"
