;Origen;Destino
EC:5.1.3.3;alpha-D-glucose [CPD:C00267]
beta-D-glucose [CPD:C00221];EC:5.1.3.3
EC:2.7.1.1;"ATP [CPD:C00002];"
EC:2.7.1.1;D-hexose [CPD:C00738]
"ADP [CPD:C00008];";EC:2.7.1.1
D-hexose 6-phosphate [CPD:C02965];EC:2.7.1.1
EC:2.7.1.2;"ATP [CPD:C00002];"
EC:2.7.1.2;D-glucose [CPD:C00031]
"ADP [CPD:C00008];";EC:2.7.1.2
D-glucose 6-phosphate [CPD:C00092];EC:2.7.1.2
EC:3.1.3.9;"D-glucose 6-phosphate [CPD:C00092];"
EC:3.1.3.9;H2O [CPD:C00001]
"D-glucose [CPD:C00031];";EC:3.1.3.9
phosphate [CPD:C00009];EC:3.1.3.9
EC:5.3.1.9;D-glucose 6-phosphate [CPD:C00092]
D-fructose 6-phosphate [CPD:C00085];EC:5.3.1.9
EC:5.4.2.2;alpha-D-glucose 1-phosphate [CPD:C00103]
D-glucose 6-phosphate [CPD:C00092];EC:5.4.2.2
EC:3.1.3.11;"D-fructose 1,6-bisphosphate [CPD:C00354];"
EC:3.1.3.11;H2O [CPD:C00001]
"D-fructose 6-phosphate [CPD:C00085];";EC:3.1.3.11
phosphate [CPD:C00009];EC:3.1.3.11
EC:2.7.1.11;"ATP [CPD:C00002];"
EC:2.7.1.11;D-fructose 6-phosphate [CPD:C00085]
"ADP [CPD:C00008];";EC:2.7.1.11
D-fructose 1,6-bisphosphate [CPD:C00354];EC:2.7.1.11
EC:4.1.2.13;D-fructose 1,6-bisphosphate [CPD:C00354]
"glycerone phosphate [CPD:C00111];";EC:4.1.2.13
D-glyceraldehyde 3-phosphate [CPD:C00118];EC:4.1.2.13
EC:5.3.1.1;D-glyceraldehyde 3-phosphate [CPD:C00118]
glycerone phosphate [CPD:C00111];EC:5.3.1.1
EC:1.2.1.12;"D-glyceraldehyde 3-phosphate [CPD:C00118];"
EC:1.2.1.12;"phosphate [CPD:C00009];"
EC:1.2.1.12;NAD+ [CPD:C00003]
"3-phospho-D-glyceroyl phosphate [CPD:C00236];";EC:1.2.1.12
"NADH [CPD:C00004];";EC:1.2.1.12
H+ [CPD:C00080];EC:1.2.1.12
EC:2.7.2.3;"ATP [CPD:C00002];"
EC:2.7.2.3;3-phospho-D-glycerate [CPD:C00197]
"ADP [CPD:C00008];";EC:2.7.2.3
3-phospho-D-glyceroyl phosphate [CPD:C00236];EC:2.7.2.3
EC:5.4.2.11;"2-phospho-D-glycerate [CPD:C00631];"
EC:5.4.2.11;"[enzyme]-L-histidine;"
EC:5.4.2.11;"2,3-bisphospho-D-glycerate [CPD:C01159];"
EC:5.4.2.11;"[enzyme]-Ntau-phospho-L-histidine;"
EC:5.4.2.11;2/3-bisphospho-D-glycerate
"3-phospho-D-glycerate [CPD:C00197];";EC:5.4.2.11
"[enzyme]-Ntau-phospho-L-histidine;";EC:5.4.2.11
"2/3-phospho-D-glycerate;";EC:5.4.2.11
"[enzyme]-L-histidine;";EC:5.4.2.11
2,3-bisphospho-D-glycerate [CPD:C01159];EC:5.4.2.11
EC:4.2.1.11;2-phospho-D-glycerate [CPD:C00631]
"phosphoenolpyruvate [CPD:C00074];";EC:4.2.1.11
H2O [CPD:C00001];EC:4.2.1.11
EC:1.2.4.1;"pyruvate [CPD:C00022];"
EC:1.2.4.1;[dihydrolipoyllysine-residue acetyltransferase] lipoyllysine [CPD:C15972]
"[dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine [CPD:C16255];";EC:1.2.4.1
CO2 [CPD:C00011];EC:1.2.4.1
EC:2.3.1.12;"acetyl-CoA [CPD:C00024];"
EC:2.3.1.12;enzyme N6-(dihydrolipoyl)lysine [CPD:C15973]
"CoA [CPD:C00010];";EC:2.3.1.12
enzyme N6-(S-acetyldihydrolipoyl)lysine [CPD:C16255];EC:2.3.1.12
EC:1.8.1.4;"protein N6-(dihydrolipoyl)lysine [CPD:C16832];"
EC:1.8.1.4;NAD+ [CPD:C00003]
"protein N6-(lipoyl)lysine [CPD:C16237];";EC:1.8.1.4
"NADH [CPD:C00004];";EC:1.8.1.4
H+ [CPD:C00080];EC:1.8.1.4
EC:1.2.1.3;"aldehyde [CPD:C00071];"
EC:1.2.1.3;"NAD+ [CPD:C00003];"
EC:1.2.1.3;H2O [CPD:C00001]
"carboxylate [CPD:C00060];";EC:1.2.1.3
"NADH [CPD:C00004];";EC:1.2.1.3
H+ [CPD:C00080];EC:1.2.1.3
EC:1.1.1.1;"primary alcohol [CPD:C00226];"
EC:1.1.1.1;"NAD+ [CPD:C00003];"
EC:1.1.1.1;secondary alcohol [CPD:C01612]
"aldehyde [CPD:C00071];";EC:1.1.1.1
"NADH [CPD:C00004];";EC:1.1.1.1
"H+ [CPD:C00080];";EC:1.1.1.1
ketone [CPD:C01450];EC:1.1.1.1
EC:1.2.1.5;"aldehyde [CPD:C00071];"
EC:1.2.1.5;"NAD+ [CPD:C00003];"
EC:1.2.1.5;"NADP+ [CPD:C00006];"
EC:1.2.1.5;H2O [CPD:C00001]
"carboxylate [CPD:C00060];";EC:1.2.1.5
"NADH [CPD:C00004];";EC:1.2.1.5
"NADPH [CPD:C00005];";EC:1.2.1.5
H+ [CPD:C00080];EC:1.2.1.5
EC:1.1.1.2;"alcohol [CPD:C00069];"
EC:1.1.1.2;NADP+ [CPD:C00006]
"aldehyde [CPD:C00071];";EC:1.1.1.2
"NADPH [CPD:C00005];";EC:1.1.1.2
H+ [CPD:C00080];EC:1.1.1.2
EC:2.7.1.40;"ATP [CPD:C00002];"
EC:2.7.1.40;pyruvate [CPD:C00022]
"ADP [CPD:C00008];";EC:2.7.1.40
phosphoenolpyruvate [CPD:C00074];EC:2.7.1.40
EC:1.1.1.27;"(S)-lactate [CPD:C00186];"
EC:1.1.1.27;NAD+ [CPD:C00003]
"pyruvate [CPD:C00022];";EC:1.1.1.27
"NADH [CPD:C00004];";EC:1.1.1.27
H+ [CPD:C00080];EC:1.1.1.27
EC:5.4.2.4 5.4.2.11;3-phospho-D-glyceroyl phosphate [CPD:C00236]
2,3-bisphospho-D-glycerate [CPD:C01159];EC:5.4.2.4 5.4.2.11
EC:4.1.1.32;"GTP [CPD:C00044];"
EC:4.1.1.32;oxaloacetate [CPD:C00036]
"GDP [CPD:C00035];";EC:4.1.1.32
"phosphoenolpyruvate [CPD:C00074];";EC:4.1.1.32
CO2 [CPD:C00011];EC:4.1.1.32
EC:6.2.1.1;"ATP [CPD:C00002];"
EC:6.2.1.1;"acetate [CPD:C00033];"
EC:6.2.1.1;CoA [CPD:C00010]
"AMP [CPD:C00020];";EC:6.2.1.1
"diphosphate [CPD:C00013];";EC:6.2.1.1
acetyl-CoA [CPD:C00024];EC:6.2.1.1
EC:2.7.1.147;"ADP [CPD:C00008];"
EC:2.7.1.147;"D-glucose [CPD:C00031];"
EC:2.7.1.147;D-glucosamine [CPD:C00329]
"AMP [CPD:C00020];";EC:2.7.1.147
"D-glucose 6-phosphate [CPD:C00092];";EC:2.7.1.147
D-glucosamine 6-phosphate [CPD:C00352];EC:2.7.1.147
EC:3.1.3.62 3.1.3.80;"myo-inositol hexakisphosphate [CPD:C01204];"
EC:3.1.3.62 3.1.3.80;H2O [CPD:C00001]
"myo-inositol pentakisphosphate [CPD:C15991];";EC:3.1.3.62 3.1.3.80
phosphate [CPD:C00009];EC:3.1.3.62 3.1.3.80
EC:6.4.1.1;"ATP [CPD:C00002];"
EC:6.4.1.1;"pyruvate [CPD:C00022];"
EC:6.4.1.1;HCO3- [CPD:C00288]
"ADP [CPD:C00008];";EC:6.4.1.1
"phosphate [CPD:C00009];";EC:6.4.1.1
oxaloacetate [CPD:C00036];EC:6.4.1.1
EC:2.3.3.1;"acetyl-CoA [CPD:C00024];"
EC:2.3.3.1;"H2O [CPD:C00001];"
EC:2.3.3.1;oxaloacetate [CPD:C00036]
"citrate [CPD:C00158];";EC:2.3.3.1
CoA [CPD:C00010];EC:2.3.3.1
EC:2.3.3.8;"ADP [CPD:C00008];"
EC:2.3.3.8;"phosphate [CPD:C00009];"
EC:2.3.3.8;"acetyl-CoA [CPD:C00024];"
EC:2.3.3.8;oxaloacetate [CPD:C00036]
"ATP [CPD:C00002];";EC:2.3.3.8
"citrate [CPD:C00158];";EC:2.3.3.8
CoA [CPD:C00010];EC:2.3.3.8
EC:1.1.1.37;"(S)-malate [CPD:C00149];"
EC:1.1.1.37;NAD+ [CPD:C00003]
"oxaloacetate [CPD:C00036];";EC:1.1.1.37
"NADH [CPD:C00004];";EC:1.1.1.37
H+ [CPD:C00080];EC:1.1.1.37
EC:4.2.1.2;(S)-malate [CPD:C00149]
"fumarate [CPD:C00122];";EC:4.2.1.2
H2O [CPD:C00001];EC:4.2.1.2
EC:1.3.5.1;"succinate [CPD:C00042];"
EC:1.3.5.1;quinone [CPD:C15602]
"fumarate [CPD:C00122];";EC:1.3.5.1
quinol [CPD:C15603];EC:1.3.5.1
EC:6.2.1.4 6.2.1.5;"GTP [CPD:C00044];"
EC:6.2.1.4 6.2.1.5;"succinate [CPD:C00042];"
EC:6.2.1.4 6.2.1.5;CoA [CPD:C00010]
"GDP [CPD:C00035];";EC:6.2.1.4 6.2.1.5
"phosphate [CPD:C00009];";EC:6.2.1.4 6.2.1.5
succinyl-CoA [CPD:C00091];EC:6.2.1.4 6.2.1.5
EC:2.3.1.61;"succinyl-CoA [CPD:C00091];"
EC:2.3.1.61;enzyme N6-(dihydrolipoyl)lysine [CPD:C15973]
"CoA [CPD:C00010];";EC:2.3.1.61
enzyme N6-(S-succinyldihydrolipoyl)lysine [CPD:C16254];EC:2.3.1.61
EC:1.2.4.2;"2-oxoglutarate [CPD:C00026];"
