;Origen;Destino
EC:5.1.3.3;alpha-D-glucose [CPD:C00267]
beta-D-glucose [CPD:C00221];EC:5.1.3.3
EC:2.7.1.2;"ATP [CPD:C00002];"
EC:2.7.1.2;D-glucose [CPD:C00031]
"ADP [CPD:C00008];";EC:2.7.1.2
D-glucose 6-phosphate [CPD:C00092];EC:2.7.1.2
EC:5.3.1.9 5.3.1.8;D-glucose 6-phosphate [CPD:C00092]
D-fructose 6-phosphate [CPD:C00085];EC:5.3.1.9 5.3.1.8
EC:5.4.2.8 5.4.2.2;alpha-D-mannose 1-phosphate [CPD:C00636]
D-mannose 6-phosphate [CPD:C00275];EC:5.4.2.8 5.4.2.2
EC:4.1.2.13 3.1.3.11;D-fructose 1,6-bisphosphate [CPD:C00354]
"glycerone phosphate [CPD:C00111];";EC:4.1.2.13 3.1.3.11
D-glyceraldehyde 3-phosphate [CPD:C00118];EC:4.1.2.13 3.1.3.11
EC:5.3.1.1;D-glyceraldehyde 3-phosphate [CPD:C00118]
glycerone phosphate [CPD:C00111];EC:5.3.1.1
EC:1.2.4.1;"pyruvate [CPD:C00022];"
EC:1.2.4.1;[dihydrolipoyllysine-residue acetyltransferase] lipoyllysine [CPD:C15972]
"[dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine [CPD:C16255];";EC:1.2.4.1
CO2 [CPD:C00011];EC:1.2.4.1
EC:2.3.1.12;"acetyl-CoA [CPD:C00024];"
EC:2.3.1.12;enzyme N6-(dihydrolipoyl)lysine [CPD:C15973]
"CoA [CPD:C00010];";EC:2.3.1.12
enzyme N6-(S-acetyldihydrolipoyl)lysine [CPD:C16255];EC:2.3.1.12
EC:1.8.1.4;"protein N6-(dihydrolipoyl)lysine [CPD:C16832];"
EC:1.8.1.4;NAD+ [CPD:C00003]
"protein N6-(lipoyl)lysine [CPD:C16237];";EC:1.8.1.4
"NADH [CPD:C00004];";EC:1.8.1.4
H+ [CPD:C00080];EC:1.8.1.4
EC:2.7.1.40;"ATP [CPD:C00002];"
EC:2.7.1.40;pyruvate [CPD:C00022]
"ADP [CPD:C00008];";EC:2.7.1.40
phosphoenolpyruvate [CPD:C00074];EC:2.7.1.40
EC:4.2.1.11;2-phospho-D-glycerate [CPD:C00631]
"phosphoenolpyruvate [CPD:C00074];";EC:4.2.1.11
H2O [CPD:C00001];EC:4.2.1.11
EC:1.2.1.3;"aldehyde [CPD:C00071];"
EC:1.2.1.3;"NAD+ [CPD:C00003];"
EC:1.2.1.3;H2O [CPD:C00001]
"carboxylate [CPD:C00060];";EC:1.2.1.3
"NADH [CPD:C00004];";EC:1.2.1.3
H+ [CPD:C00080];EC:1.2.1.3
EC:6.2.1.13;"ATP [CPD:C00002];"
EC:6.2.1.13;"acetate [CPD:C00033];"
EC:6.2.1.13;CoA [CPD:C00010]
"ADP [CPD:C00008];";EC:6.2.1.13
"phosphate [CPD:C00009];";EC:6.2.1.13
acetyl-CoA [CPD:C00024];EC:6.2.1.13
