;n;enzima;gen;nob_Keeg;path;link
1;'18';fructose-bisphosphate aldolase, class I [EC:4.1.2.13];Aldoa;mmu:11674;mmu00010;http://www.kegg.jp/dbget-bin/www_bget?mmu:11674+mmu:11676+mmu:230163+mmu:353204
1;18;fructose-bisphosphate aldolase, class I [EC:4.1.2.13];Aldoa;mmu:11674;mmu00010;http://www.kegg.jp/dbget-bin/www_bget?mmu:11674+mmu:11676+mmu:230163+mmu:353204
2;42;aldehyde dehydrogenase family 7 member A1 [EC:1.2.1.31 1.2.1.8 1.2.1.3];Aldh7a1;mmu:110695;mmu00010;http://www.kegg.jp/dbget-bin/www_bget?mmu:110695+mmu:11669+mmu:11671+mmu:56752+mmu:72535
3;44;aldehyde dehydrogenase (NAD(P)+) [EC:1.2.1.5];Aldh3a1;mmu:11670;mmu00010;http://www.kegg.jp/dbget-bin/www_bget?mmu:11670+mmu:56847+mmu:621603+mmu:67689+mmu:73458
4;49;alcohol dehydrogenase (NADP+) [EC:1.1.1.2];Akr1a1;mmu:58810;mmu00010;http://www.kegg.jp/dbget-bin/www_bget?mmu:58810
5;50;alcohol dehydrogenase 1/7 [EC:1.1.1.1];Adh1;mmu:11522;mmu00010;http://www.kegg.jp/dbget-bin/www_bget?mmu:11522+mmu:11529+mmu:11532+mmu:26876
6;52;pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1];Pdha1;mmu:18597;mmu00010;http://www.kegg.jp/dbget-bin/www_bget?mmu:18597+mmu:18598+mmu:68263
7;53;pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1];Pdha1;mmu:18597;mmu00010;http://www.kegg.jp/dbget-bin/www_bget?mmu:18597+mmu:18598+mmu:68263
8;54;pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12];Dlat;mmu:235339;mmu00010;http://www.kegg.jp/dbget-bin/www_bget?mmu:235339
9;55;L-lactate dehydrogenase [EC:1.1.1.27];Ldhal6b;mmu:106557;mmu00010;http://www.kegg.jp/dbget-bin/www_bget?mmu:106557+mmu:16828+mmu:16832+mmu:16833
10;57;pyruvate kinase [EC:2.7.1.40];Pkm;mmu:18746;mmu00010;http://www.kegg.jp/dbget-bin/www_bget?mmu:18746+mmu:18770
11;59;enolase [EC:4.2.1.11];Eno1;mmu:13806;mmu00010;http://www.kegg.jp/dbget-bin/www_bget?mmu:13806+mmu:13807+mmu:13808+mmu:226265+mmu:433182
12;60;bisphosphoglycerate/phosphoglycerate mutase [EC:5.4.2.4 5.4.2.11];Bpgm;mmu:12183;mmu00010;http://www.kegg.jp/dbget-bin/www_bget?mmu:12183+mmu:18648+mmu:56012
13;61;glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12];Gapdh;mmu:14433;mmu00010;http://www.kegg.jp/dbget-bin/www_bget?mmu:14433+mmu:14447
14;62;triosephosphate isomerase (TIM) [EC:5.3.1.1];Tpi1;mmu:21991;mmu00010;http://www.kegg.jp/dbget-bin/www_bget?mmu:21991
15;63;6-phosphofructokinase 1 [EC:2.7.1.11];Pfkl;mmu:18641;mmu00010;http://www.kegg.jp/dbget-bin/www_bget?mmu:18641+mmu:18642+mmu:56421
16;64;fructose-1,6-bisphosphatase I [EC:3.1.3.11];Fbp2;mmu:14120;mmu00010;http://www.kegg.jp/dbget-bin/www_bget?mmu:14120+mmu:14121
17;66;glucose-6-phosphate isomerase [EC:5.3.1.9];Gpi1;mmu:14751;mmu00010;http://www.kegg.jp/dbget-bin/www_bget?mmu:14751
18;67;phosphoglucomutase / phosphopentomutase [EC:5.4.2.2 5.4.2.7];Pgm2;mmu:66681;mmu00010;http://www.kegg.jp/dbget-bin/www_bget?mmu:66681+mmu:72157
19;68;glucose-6-phosphate isomerase [EC:5.3.1.9];Gpi1;mmu:14751;mmu00010;http://www.kegg.jp/dbget-bin/www_bget?mmu:14751
20;69;hexokinase [EC:2.7.1.1];Hk1;mmu:15275;mmu00010;http://www.kegg.jp/dbget-bin/www_bget?mmu:15275+mmu:15277+mmu:212032+mmu:216019
21;70;glucokinase [EC:2.7.1.2];Gck;mmu:103988;mmu00010;http://www.kegg.jp/dbget-bin/www_bget?mmu:103988
22;71;glucose-6-phosphate isomerase [EC:5.3.1.9];Gpi1;mmu:14751;mmu00010;http://www.kegg.jp/dbget-bin/www_bget?mmu:14751
23;73;aldose 1-epimerase [EC:5.1.3.3];Galm;mmu:319625;mmu00010;http://www.kegg.jp/dbget-bin/www_bget?mmu:319625
