;n;enzima;gen;nob_Keeg;path;link
1;'14';fructose-bisphosphate aldolase, class II [EC:4.1.2.13];(RefSeq);cac:CA_C0827;cac00010;http://www.kegg.jp/dbget-bin/www_bget?cac:CA_C0827+cac:CA_P0064
1;14;fructose-bisphosphate aldolase, class II [EC:4.1.2.13];(RefSeq);cac:CA_C0827;cac00010;http://www.kegg.jp/dbget-bin/www_bget?cac:CA_C0827+cac:CA_P0064
2;46;S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1];(RefSeq);cac:CA_C3375;cac00010;http://www.kegg.jp/dbget-bin/www_bget?cac:CA_C3375+cac:CA_P0035+cac:CA_P0162
3;51;L-lactate dehydrogenase [EC:1.1.1.27];ldh;cac:CA_C0267;cac00010;http://www.kegg.jp/dbget-bin/www_bget?cac:CA_C0267+cac:CA_C3552
4;53;pyruvate kinase [EC:2.7.1.40];pykA;cac:CA_C0518;cac00010;http://www.kegg.jp/dbget-bin/www_bget?cac:CA_C0518+cac:CA_C1036
5;55;enolase [EC:4.2.1.11];eno;cac:CA_C0713;cac00010;http://www.kegg.jp/dbget-bin/www_bget?cac:CA_C0713
6;56;2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11];gpmA;cac:CA_C2741;cac00010;http://www.kegg.jp/dbget-bin/www_bget?cac:CA_C2741
7;57;glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12];gapC;cac:CA_C0709;cac00010;http://www.kegg.jp/dbget-bin/www_bget?cac:CA_C0709
8;58;triosephosphate isomerase (TIM) [EC:5.3.1.1];tpiA;cac:CA_C0711;cac00010;http://www.kegg.jp/dbget-bin/www_bget?cac:CA_C0711
9;59;6-phosphofructokinase 1 [EC:2.7.1.11];pfkA;cac:CA_C0517;cac00010;http://www.kegg.jp/dbget-bin/www_bget?cac:CA_C0517
10;60;fructose-1,6-bisphosphatase II [EC:3.1.3.11];glpX;cac:CA_C1088;cac00010;http://www.kegg.jp/dbget-bin/www_bget?cac:CA_C1088+cac:CA_C1572
11;61;glucose PTS system EIICBA or EIICB component [EC:2.7.1.199];(RefSeq);cac:CA_C0570;cac00010;http://www.kegg.jp/dbget-bin/www_bget?cac:CA_C0570+cac:CA_C1354+cac:CA_C2995+cac:CA_C3427
12;62;glucose-6-phosphate isomerase [EC:5.3.1.9];pgi;cac:CA_C2680;cac00010;http://www.kegg.jp/dbget-bin/www_bget?cac:CA_C2680
13;63;phosphoglucomutase [EC:5.4.2.2];(RefSeq);cac:CA_C2337;cac00010;http://www.kegg.jp/dbget-bin/www_bget?cac:CA_C2337
14;64;glucose-6-phosphate isomerase [EC:5.3.1.9];pgi;cac:CA_C2680;cac00010;http://www.kegg.jp/dbget-bin/www_bget?cac:CA_C2680
15;66;glucokinase [EC:2.7.1.2];glcK;cac:CA_C2613;cac00010;http://www.kegg.jp/dbget-bin/www_bget?cac:CA_C2613
16;67;glucose-6-phosphate isomerase [EC:5.3.1.9];pgi;cac:CA_C2680;cac00010;http://www.kegg.jp/dbget-bin/www_bget?cac:CA_C2680
17;69;aldose 1-epimerase [EC:5.1.3.3];(RefSeq);cac:CA_C0697;cac00010;http://www.kegg.jp/dbget-bin/www_bget?cac:CA_C0697+cac:CA_C1349
18;70;glucokinase [EC:2.7.1.2];glcK;cac:CA_C2613;cac00010;http://www.kegg.jp/dbget-bin/www_bget?cac:CA_C2613
