;n;enzima;gen;nob_Keeg;path;link
1;'14';fructose-bisphosphate aldolase, class I [EC:4.1.2.13];ALD;lma:LMJF_36_1260;lma00010;http://www.kegg.jp/dbget-bin/www_bget?lma:LMJF_36_1260
1;14;fructose-bisphosphate aldolase, class I [EC:4.1.2.13];ALD;lma:LMJF_36_1260;lma00010;http://www.kegg.jp/dbget-bin/www_bget?lma:LMJF_36_1260
2;38;aldehyde dehydrogenase (NAD+) [EC:1.2.1.3];ALDH2;lma:LMJF_25_1120;lma00010;http://www.kegg.jp/dbget-bin/www_bget?lma:LMJF_25_1120
3;45;alcohol dehydrogenase (NADP+) [EC:1.1.1.2];(RefSeq);lma:LMJF_23_0360;lma00010;http://www.kegg.jp/dbget-bin/www_bget?lma:LMJF_23_0360
4;48;pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1];(RefSeq);lma:LMJF_18_1380;lma00010;http://www.kegg.jp/dbget-bin/www_bget?lma:LMJF_18_1380+lma:LMJF_25_1710
5;49;pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1];(RefSeq);lma:LMJF_18_1380;lma00010;http://www.kegg.jp/dbget-bin/www_bget?lma:LMJF_18_1380+lma:LMJF_25_1710
6;50;pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12];(RefSeq);lma:LMJF_21_0550;lma00010;http://www.kegg.jp/dbget-bin/www_bget?lma:LMJF_21_0550+lma:LMJF_36_2660
7;53;pyruvate kinase [EC:2.7.1.40];(RefSeq);lma:LMJF_35_0020;lma00010;http://www.kegg.jp/dbget-bin/www_bget?lma:LMJF_35_0020+lma:LMJF_35_0030
8;55;enolase [EC:4.2.1.11];ENOL;lma:LMJF_14_1160;lma00010;http://www.kegg.jp/dbget-bin/www_bget?lma:LMJF_14_1160
9;57;glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12];(RefSeq);lma:LMJF_30_2970;lma00010;http://www.kegg.jp/dbget-bin/www_bget?lma:LMJF_30_2970+lma:LMJF_30_2980+lma:LMJF_35_4750
10;58;triosephosphate isomerase (TIM) [EC:5.3.1.1];(RefSeq);lma:LMJF_24_0850;lma00010;http://www.kegg.jp/dbget-bin/www_bget?lma:LMJF_24_0850
11;59;6-phosphofructokinase 1 [EC:2.7.1.11];(RefSeq);lma:LMJF_29_2510;lma00010;http://www.kegg.jp/dbget-bin/www_bget?lma:LMJF_29_2510
12;60;fructose-1,6-bisphosphatase I [EC:3.1.3.11];FBP;lma:LMJF_04_1160;lma00010;http://www.kegg.jp/dbget-bin/www_bget?lma:LMJF_04_1160
