;n;enzima;gen;nob_Keeg;path;link
1;'14';fructose-bisphosphate aldolase, class I [EC:4.1.2.13];Ald2;dme:Dmel_CG5432;dme00010;http://www.kegg.jp/dbget-bin/www_bget?dme:Dmel_CG5432+dme:Dmel_CG6058
1;14;fructose-bisphosphate aldolase, class I [EC:4.1.2.13];Ald2;dme:Dmel_CG5432;dme00010;http://www.kegg.jp/dbget-bin/www_bget?dme:Dmel_CG5432+dme:Dmel_CG6058
2;38;aldehyde dehydrogenase (NAD+) [EC:1.2.1.3];CG31075;dme:Dmel_CG31075;dme00010;http://www.kegg.jp/dbget-bin/www_bget?dme:Dmel_CG31075+dme:Dmel_CG3752+dme:Dmel_CG9629
3;40;aldehyde dehydrogenase (NAD(P)+) [EC:1.2.1.5];Aldh-III;dme:Dmel_CG11140;dme00010;http://www.kegg.jp/dbget-bin/www_bget?dme:Dmel_CG11140
4;45;alcohol dehydrogenase (NADP+) [EC:1.1.1.2];CG2767;dme:Dmel_CG2767;dme00010;http://www.kegg.jp/dbget-bin/www_bget?dme:Dmel_CG2767
5;46;alcohol dehydrogenase [EC:1.1.1.1];Adh;dme:Dmel_CG3481;dme00010;http://www.kegg.jp/dbget-bin/www_bget?dme:Dmel_CG3481+dme:Dmel_CG6598
6;48;pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1];Pdhb;dme:Dmel_CG11876;dme00010;http://www.kegg.jp/dbget-bin/www_bget?dme:Dmel_CG11876+dme:Dmel_CG7010+dme:Dmel_CG7024
7;49;pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1];Pdhb;dme:Dmel_CG11876;dme00010;http://www.kegg.jp/dbget-bin/www_bget?dme:Dmel_CG11876+dme:Dmel_CG7010+dme:Dmel_CG7024
8;50;pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12];muc;dme:Dmel_CG5261;dme00010;http://www.kegg.jp/dbget-bin/www_bget?dme:Dmel_CG5261
9;51;L-lactate dehydrogenase [EC:1.1.1.27];Ldh;dme:Dmel_CG10160;dme00010;http://www.kegg.jp/dbget-bin/www_bget?dme:Dmel_CG10160+dme:Dmel_CG13334
10;53;pyruvate kinase [EC:2.7.1.40];CG11249;dme:Dmel_CG11249;dme00010;http://www.kegg.jp/dbget-bin/www_bget?dme:Dmel_CG11249+dme:Dmel_CG12229+dme:Dmel_CG2964+dme:Dmel_CG7069+dme:Dmel_CG7070+dme:Dmel_CG7362
11;55;enolase [EC:4.2.1.11];Eno;dme:Dmel_CG17654;dme00010;http://www.kegg.jp/dbget-bin/www_bget?dme:Dmel_CG17654
12;56;2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11];Pglym78;dme:Dmel_CG1721;dme00010;http://www.kegg.jp/dbget-bin/www_bget?dme:Dmel_CG1721+dme:Dmel_CG17645+dme:Dmel_CG7059
13;57;glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12];Gapdh1;dme:Dmel_CG12055;dme00010;http://www.kegg.jp/dbget-bin/www_bget?dme:Dmel_CG12055+dme:Dmel_CG8893+dme:Dmel_CG9010
14;58;triosephosphate isomerase (TIM) [EC:5.3.1.1];Tpi;dme:Dmel_CG2171;dme00010;http://www.kegg.jp/dbget-bin/www_bget?dme:Dmel_CG2171
15;59;6-phosphofructokinase 1 [EC:2.7.1.11];Pfk;dme:Dmel_CG4001;dme00010;http://www.kegg.jp/dbget-bin/www_bget?dme:Dmel_CG4001
16;60;fructose-1,6-bisphosphatase I [EC:3.1.3.11];fbp;dme:Dmel_CG31692;dme00010;http://www.kegg.jp/dbget-bin/www_bget?dme:Dmel_CG31692
17;62;glucose-6-phosphate isomerase [EC:5.3.1.9];Pgi;dme:Dmel_CG8251;dme00010;http://www.kegg.jp/dbget-bin/www_bget?dme:Dmel_CG8251
