;n;enzima;gen;nob_Keeg;path;link
1;'14';fructose-bisphosphate aldolase, class I [EC:4.1.2.13];ALDOA;ptr:454362;ptr00010;http://www.kegg.jp/dbget-bin/www_bget?ptr:454362+ptr:464623+ptr:493951
1;14;fructose-bisphosphate aldolase, class I [EC:4.1.2.13];ALDOA;ptr:454362;ptr00010;http://www.kegg.jp/dbget-bin/www_bget?ptr:454362+ptr:464623+ptr:493951
2;38;aldehyde dehydrogenase (NAD+) [EC:1.2.1.3];ALDH2;ptr:107967644;ptr00010;http://www.kegg.jp/dbget-bin/www_bget?ptr:107967644+ptr:454505+ptr:457478+ptr:462033+ptr:464931
3;40;aldehyde dehydrogenase (NAD(P)+) [EC:1.2.1.5];ALDH1A3;ptr:453686;ptr00010;http://www.kegg.jp/dbget-bin/www_bget?ptr:453686+ptr:466685+ptr:468186+ptr:747335
4;45;alcohol dehydrogenase (NADP+) [EC:1.1.1.2];AKR1A1;ptr:741418;ptr00010;http://www.kegg.jp/dbget-bin/www_bget?ptr:741418
5;46;alcohol dehydrogenase 4 [EC:1.1.1.1];ADH4;ptr:461394;ptr00010;http://www.kegg.jp/dbget-bin/www_bget?ptr:461394+ptr:461395+ptr:461396+ptr:471257+ptr:743928+ptr:744064+ptr:744176
6;48;pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1];PDHA1;ptr:465525;ptr00010;http://www.kegg.jp/dbget-bin/www_bget?ptr:465525+ptr:470832+ptr:471255
7;49;pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1];PDHA1;ptr:465525;ptr00010;http://www.kegg.jp/dbget-bin/www_bget?ptr:465525+ptr:470832+ptr:471255
8;50;pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12];DLAT;ptr:466780;ptr00010;http://www.kegg.jp/dbget-bin/www_bget?ptr:466780
9;51;L-lactate dehydrogenase [EC:1.1.1.27];LDHA;ptr:451063;ptr00010;http://www.kegg.jp/dbget-bin/www_bget?ptr:451063+ptr:451064+ptr:464999+ptr:465337+ptr:466460+ptr:747141
10;53;pyruvate kinase isozymes R/L [EC:2.7.1.40];PKLR;ptr:469513;ptr00010;http://www.kegg.jp/dbget-bin/www_bget?ptr:469513+ptr:748700
11;55;enolase [EC:4.2.1.11];ENO3;ptr:454457;ptr00010;http://www.kegg.jp/dbget-bin/www_bget?ptr:454457+ptr:457913+ptr:742215+ptr:749504
12;56;2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11];PGAM1;ptr:450650;ptr00010;http://www.kegg.jp/dbget-bin/www_bget?ptr:450650+ptr:463746+ptr:494122+ptr:737767
13;57;glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12];GAPDH;ptr:451783;ptr00010;http://www.kegg.jp/dbget-bin/www_bget?ptr:451783+ptr:455951
14;58;triosephosphate isomerase (TIM) [EC:5.3.1.1];TPI1;ptr:451799;ptr00010;http://www.kegg.jp/dbget-bin/www_bget?ptr:451799
15;59;6-phosphofructokinase 1 [EC:2.7.1.11];PFKP;ptr:450266;ptr00010;http://www.kegg.jp/dbget-bin/www_bget?ptr:450266+ptr:451863+ptr:458602
16;60;fructose-1,6-bisphosphatase I [EC:3.1.3.11];FBP1;ptr:465260;ptr00010;http://www.kegg.jp/dbget-bin/www_bget?ptr:465260+ptr:465261
17;62;glucose-6-phosphate isomerase [EC:5.3.1.9];GPI;ptr:100612813;ptr00010;http://www.kegg.jp/dbget-bin/www_bget?ptr:100612813
18;63;phosphoglucomutase [EC:5.4.2.2];PGM1;ptr:456908;ptr00010;http://www.kegg.jp/dbget-bin/www_bget?ptr:456908+ptr:461162
19;64;glucose-6-phosphate isomerase [EC:5.3.1.9];GPI;ptr:100612813;ptr00010;http://www.kegg.jp/dbget-bin/www_bget?ptr:100612813
20;65;hexokinase [EC:2.7.1.1];HKDC1;ptr:450504;ptr00010;http://www.kegg.jp/dbget-bin/www_bget?ptr:450504+ptr:450505+ptr:462298+ptr:741291
21;66;glucokinase [EC:2.7.1.2];GCK;ptr:737923;ptr00010;http://www.kegg.jp/dbget-bin/www_bget?ptr:737923
22;67;glucose-6-phosphate isomerase [EC:5.3.1.9];GPI;ptr:100612813;ptr00010;http://www.kegg.jp/dbget-bin/www_bget?ptr:100612813
23;69;aldose 1-epimerase [EC:5.1.3.3];GALM;ptr:459166;ptr00010;http://www.kegg.jp/dbget-bin/www_bget?ptr:459166
24;70;glucokinase [EC:2.7.1.2];GCK;ptr:737923;ptr00010;http://www.kegg.jp/dbget-bin/www_bget?ptr:737923
25;71;hexokinase [EC:2.7.1.1];HKDC1;ptr:450504;ptr00010;http://www.kegg.jp/dbget-bin/www_bget?ptr:450504+ptr:450505+ptr:462298+ptr:741291
26;72;glucose-6-phosphatase [EC:3.1.3.9];G6PC;ptr:454703;ptr00010;http://www.kegg.jp/dbget-bin/www_bget?ptr:454703+ptr:454720+ptr:741431
27;75;dihydrolipoamide dehydrogenase [EC:1.8.1.4];DLD;ptr:463861;ptr00010;http://www.kegg.jp/dbget-bin/www_bget?ptr:463861
28;76;phosphoglycerate kinase [EC:2.7.2.3];PGK2;ptr:462757;ptr00010;http://www.kegg.jp/dbget-bin/www_bget?ptr:462757+ptr:473678
29;112;phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32];PCK2;ptr:452807;ptr00010;http://www.kegg.jp/dbget-bin/www_bget?ptr:452807+ptr:458362
30;128;bisphosphoglycerate/phosphoglycerate mutase [EC:5.4.2.4 5.4.2.11];BPGM;ptr:463746;ptr00010;http://www.kegg.jp/dbget-bin/www_bget?ptr:463746
31;129;bisphosphoglycerate/phosphoglycerate mutase [EC:5.4.2.4 5.4.2.11];BPGM;ptr:463746;ptr00010;http://www.kegg.jp/dbget-bin/www_bget?ptr:463746
32;131;acetyl-CoA synthetase [EC:6.2.1.1];ACSS2;ptr:458441;ptr00010;http://www.kegg.jp/dbget-bin/www_bget?ptr:458441+ptr:469905
33;133;ADP-dependent glucokinase [EC:2.7.1.147];ADPGK;ptr:748791;ptr00010;http://www.kegg.jp/dbget-bin/www_bget?ptr:748791
34;134;ADP-dependent glucokinase [EC:2.7.1.147];ADPGK;ptr:748791;ptr00010;http://www.kegg.jp/dbget-bin/www_bget?ptr:748791
35;140;multiple inositol-polyphosphate phosphatase / 2,3-bisphosphoglycerate 3-phosphatase [EC:3.1.3.62 3.1.3.80];MINPP1;ptr:450579;ptr00010;http://www.kegg.jp/dbget-bin/www_bget?ptr:450579
36;33;dihydrolipoamide dehydrogenase [EC:1.8.1.4];DLD;ptr:463861;ptr00020;http://www.kegg.jp/dbget-bin/www_bget?ptr:463861
37;34;2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2];OGDHL;ptr:450453;ptr00020;http://www.kegg.jp/dbget-bin/www_bget?ptr:450453+ptr:738474
38;35;2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2];OGDHL;ptr:450453;ptr00020;http://www.kegg.jp/dbget-bin/www_bget?ptr:450453+ptr:738474
39;36;2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61];DLST;ptr:453039;ptr00020;http://www.kegg.jp/dbget-bin/www_bget?ptr:453039
40;37;succinyl-CoA synthetase beta subunit [EC:6.2.1.4 6.2.1.5];SUCLA2;ptr:452711;ptr00020;http://www.kegg.jp/dbget-bin/www_bget?ptr:452711+ptr:460492+ptr:470417
41;38;succinyl-CoA synthetase beta subunit [EC:6.2.1.4 6.2.1.5];SUCLA2;ptr:452711;ptr00020;http://www.kegg.jp/dbget-bin/www_bget?ptr:452711+ptr:460492+ptr:470417
42;39;isocitrate dehydrogenase [EC:1.1.1.42];IDH2;ptr:453645;ptr00020;http://www.kegg.jp/dbget-bin/www_bget?ptr:453645+ptr:460113
43;40;isocitrate dehydrogenase (NAD+) [EC:1.1.1.41];IDH3A;ptr:453565;ptr00020;http://www.kegg.jp/dbget-bin/www_bget?ptr:453565+ptr:458048+ptr:741179
44;41;isocitrate dehydrogenase [EC:1.1.1.42];IDH2;ptr:453645;ptr00020;http://www.kegg.jp/dbget-bin/www_bget?ptr:453645+ptr:460113
45;42;ATP citrate (pro-S)-lyase [EC:2.3.3.8];ACLY;ptr:454672;ptr00020;http://www.kegg.jp/dbget-bin/www_bget?ptr:454672
46;43;fumarate hydratase, class II [EC:4.2.1.2];FH;ptr:457851;ptr00020;http://www.kegg.jp/dbget-bin/www_bget?ptr:457851
47;44;aconitate hydratase [EC:4.2.1.3];ACO2;ptr:104003784;ptr00020;http://www.kegg.jp/dbget-bin/www_bget?ptr:104003784+ptr:465034
48;45;aconitate hydratase [EC:4.2.1.3];ACO2;ptr:104003784;ptr00020;http://www.kegg.jp/dbget-bin/www_bget?ptr:104003784+ptr:465034
49;46;citrate synthase [EC:2.3.3.1];CS;ptr:746229;ptr00020;http://www.kegg.jp/dbget-bin/www_bget?ptr:746229
50;47;malate dehydrogenase [EC:1.1.1.37];MDH1;ptr:459271;ptr00020;http://www.kegg.jp/dbget-bin/www_bget?ptr:459271+ptr:463484
51;48;pyruvate carboxylase [EC:6.4.1.1];PC;ptr:451356;ptr00020;http://www.kegg.jp/dbget-bin/www_bget?ptr:451356
52;84;pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1];PDHA1;ptr:465525;ptr00020;http://www.kegg.jp/dbget-bin/www_bget?ptr:465525+ptr:470832+ptr:471255
53;86;pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1];PDHA1;ptr:465525;ptr00020;http://www.kegg.jp/dbget-bin/www_bget?ptr:465525+ptr:470832+ptr:471255
54;89;dihydrolipoamide dehydrogenase [EC:1.8.1.4];DLD;ptr:463861;ptr00020;http://www.kegg.jp/dbget-bin/www_bget?ptr:463861
55;91;pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12];DLAT;ptr:466780;ptr00020;http://www.kegg.jp/dbget-bin/www_bget?ptr:466780
56;97;phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32];PCK2;ptr:452807;ptr00020;http://www.kegg.jp/dbget-bin/www_bget?ptr:452807+ptr:458362
57;107;succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1];SDHA;ptr:107974583;ptr00020;http://www.kegg.jp/dbget-bin/www_bget?ptr:107974583+ptr:112207632+ptr:451547+ptr:456526+ptr:747462
58;37;glucose-6-phosphate isomerase [EC:5.3.1.9];GPI;ptr:100612813;ptr00030;http://www.kegg.jp/dbget-bin/www_bget?ptr:100612813
59;40;ribokinase [EC:2.7.1.15];RBKS;ptr:100613803;ptr00030;http://www.kegg.jp/dbget-bin/www_bget?ptr:100613803
60;41;phosphoglucomutase / phosphopentomutase [EC:5.4.2.2 5.4.2.7];PGM2;ptr:461162;ptr00030;http://www.kegg.jp/dbget-bin/www_bget?ptr:461162
61;42;deoxyribose-phosphate aldolase [EC:4.1.2.4];DERA;ptr:465316;ptr00030;http://www.kegg.jp/dbget-bin/www_bget?ptr:465316
62;43;ribose-phosphate pyrophosphokinase [EC:2.7.6.1];PRPS1;ptr:465800;ptr00030;http://www.kegg.jp/dbget-bin/www_bget?ptr:465800+ptr:472640+ptr:735422
63;44;phosphoglucomutase / phosphopentomutase [EC:5.4.2.2 5.4.2.7];PGM2;ptr:461162;ptr00030;http://www.kegg.jp/dbget-bin/www_bget?ptr:461162
64;45;ribokinase [EC:2.7.1.15];RBKS;ptr:100613803;ptr00030;http://www.kegg.jp/dbget-bin/www_bget?ptr:100613803
65;46;transketolase [EC:2.2.1.1];TKT;ptr:460443;ptr00030;http://www.kegg.jp/dbget-bin/www_bget?ptr:460443+ptr:461583+ptr:465937
66;47;ribose 5-phosphate isomerase A [EC:5.3.1.6];RPIA;ptr:470428;ptr00030;http://www.kegg.jp/dbget-bin/www_bget?ptr:470428
67;48;ribulose-phosphate 3-epimerase [EC:5.1.3.1];RPEL1;ptr:450708;ptr00030;http://www.kegg.jp/dbget-bin/www_bget?ptr:450708+ptr:459912
68;49;transketolase [EC:2.2.1.1];TKT;ptr:460443;ptr00030;http://www.kegg.jp/dbget-bin/www_bget?ptr:460443+ptr:461583+ptr:465937
69;50;fructose-bisphosphate aldolase, class I [EC:4.1.2.13];ALDOA;ptr:454362;ptr00030;http://www.kegg.jp/dbget-bin/www_bget?ptr:454362+ptr:464623+ptr:493951
70;51;6-phosphofructokinase 1 [EC:2.7.1.11];PFKP;ptr:450266;ptr00030;http://www.kegg.jp/dbget-bin/www_bget?ptr:450266+ptr:451863+ptr:458602
71;52;fructose-1,6-bisphosphatase I [EC:3.1.3.11];FBP1;ptr:465260;ptr00030;http://www.kegg.jp/dbget-bin/www_bget?ptr:465260+ptr:465261
72;53;glucose-6-phosphate isomerase [EC:5.3.1.9];GPI;ptr:100612813;ptr00030;http://www.kegg.jp/dbget-bin/www_bget?ptr:100612813
73;56;6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343];PGD;ptr:100612990;ptr00030;http://www.kegg.jp/dbget-bin/www_bget?ptr:100612990+ptr:459464
74;57;6-phosphogluconolactonase [EC:3.1.1.31];PGLS;ptr:748844;ptr00030;http://www.kegg.jp/dbget-bin/www_bget?ptr:748844
75;62;gluconokinase [EC:2.7.1.12];IDNK;ptr:742025;ptr00030;http://www.kegg.jp/dbget-bin/www_bget?ptr:742025
76;64;gluconolactonase [EC:3.1.1.17];RGN;ptr:107970955;ptr00030;http://www.kegg.jp/dbget-bin/www_bget?ptr:107970955
77;77;transaldolase [EC:2.2.1.2];TALDO1;ptr:450933;ptr00030;http://www.kegg.jp/dbget-bin/www_bget?ptr:450933
78;78;phosphoglucomutase [EC:5.4.2.2];PGM1;ptr:456908;ptr00030;http://www.kegg.jp/dbget-bin/www_bget?ptr:456908+ptr:461162
79;88;glycerate 2-kinase [EC:2.7.1.165];GLYCTK;ptr:460420;ptr00030;http://www.kegg.jp/dbget-bin/www_bget?ptr:460420
80;97;hexose-6-phosphate dehydrogenase [EC:1.1.1.47 3.1.1.31];H6PD;ptr:100610187;ptr00030;http://www.kegg.jp/dbget-bin/www_bget?ptr:100610187
81;156;6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343];PGD;ptr:100612990;ptr00030;http://www.kegg.jp/dbget-bin/www_bget?ptr:100612990+ptr:459464
82;71;beta-glucuronidase [EC:3.2.1.31];GUSB;ptr:463443;ptr00040;http://www.kegg.jp/dbget-bin/www_bget?ptr:463443+ptr:467257
83;78;ribulose-phosphate 3-epimerase [EC:5.1.3.1];RPEL1;ptr:450708;ptr00040;http://www.kegg.jp/dbget-bin/www_bget?ptr:450708+ptr:459912
84;81;D-ribitol-5-phosphate cytidylyltransferase [EC:2.7.7.40];ISPD;ptr:744905;ptr00040;http://www.kegg.jp/dbget-bin/www_bget?ptr:744905
85;84;xylulokinase [EC:2.7.1.17];XYLB;ptr:470793;ptr00040;http://www.kegg.jp/dbget-bin/www_bget?ptr:470793
86;93;aldehyde reductase [EC:1.1.1.21];AKR1B10;ptr:463867;ptr00040;http://www.kegg.jp/dbget-bin/www_bget?ptr:463867+ptr:736853+ptr:737737
87;95;L-xylulose reductase [EC:1.1.1.10];DCXR;ptr:454983;ptr00040;http://www.kegg.jp/dbget-bin/www_bget?ptr:454983
88;96;aldehyde reductase [EC:1.1.1.21];AKR1B10;ptr:463867;ptr00040;http://www.kegg.jp/dbget-bin/www_bget?ptr:463867+ptr:736853+ptr:737737
89;99;L-gulonate 3-dehydrogenase [EC:1.1.1.45];CRYL1;ptr:452458;ptr00040;http://www.kegg.jp/dbget-bin/www_bget?ptr:452458
90;100;UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9];UGP2;ptr:459273;ptr00040;http://www.kegg.jp/dbget-bin/www_bget?ptr:459273
91;101;glucuronosyltransferase [EC:2.4.1.17];(RefSeq);ptr:100611992;ptr00040;http://www.kegg.jp/dbget-bin/www_bget?ptr:100611992+ptr:107973969+ptr:461285+ptr:461287+ptr:461289+ptr:471217+ptr:471218+ptr:471219+ptr:471220+ptr:742890+ptr:743607
92;102;UDPglucose 6-dehydrogenase [EC:1.1.1.22];UGDH;ptr:471171;ptr00040;http://www.kegg.jp/dbget-bin/www_bget?ptr:471171
93;193;dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP) [EC:1.3.1.20 1.1.1.179];DHDH;ptr:456194;ptr00040;http://www.kegg.jp/dbget-bin/www_bget?ptr:456194
94;215;L-iditol 2-dehydrogenase [EC:1.1.1.14];(RefSeq);ptr:107968609;ptr00040;http://www.kegg.jp/dbget-bin/www_bget?ptr:107968609+ptr:453394
95;216;alcohol dehydrogenase (NADP+) [EC:1.1.1.2];AKR1A1;ptr:741418;ptr00040;http://www.kegg.jp/dbget-bin/www_bget?ptr:741418
96;63;aldehyde reductase [EC:1.1.1.21];AKR1B10;ptr:463867;ptr00051;http://www.kegg.jp/dbget-bin/www_bget?ptr:463867+ptr:736853+ptr:737737
97;64;L-iditol 2-dehydrogenase [EC:1.1.1.14];(RefSeq);ptr:107968609;ptr00051;http://www.kegg.jp/dbget-bin/www_bget?ptr:107968609+ptr:453394
98;66;ketohexokinase [EC:2.7.1.3];KHK;ptr:740614;ptr00051;http://www.kegg.jp/dbget-bin/www_bget?ptr:740614
99;76;hexokinase [EC:2.7.1.1];HKDC1;ptr:450504;ptr00051;http://www.kegg.jp/dbget-bin/www_bget?ptr:450504+ptr:450505+ptr:462298+ptr:741291
100;79;hexokinase [EC:2.7.1.1];HKDC1;ptr:450504;ptr00051;http://www.kegg.jp/dbget-bin/www_bget?ptr:450504+ptr:450505+ptr:462298+ptr:741291
101;81;6-phosphofructo-2-kinase / fructose-2,6-biphosphatase 2 [EC:2.7.1.105 3.1.3.46];PFKFB2;ptr:457687;ptr00051;http://www.kegg.jp/dbget-bin/www_bget?ptr:457687+ptr:460346+ptr:465657+ptr:466924+ptr:738397
102;84;mannose-6-phosphate isomerase [EC:5.3.1.8];MPI;ptr:453748;ptr00051;http://www.kegg.jp/dbget-bin/www_bget?ptr:453748
103;85;phosphomannomutase [EC:5.4.2.8];PMM2;ptr:453905;ptr00051;http://www.kegg.jp/dbget-bin/www_bget?ptr:453905+ptr:458867
104;87;fucose-1-phosphate guanylyltransferase [EC:2.7.7.30];FPGT;ptr:100533984;ptr00051;http://www.kegg.jp/dbget-bin/www_bget?ptr:100533984
105;88;GDP-L-fucose synthase [EC:1.1.1.271];TSTA3;ptr:464445;ptr00051;http://www.kegg.jp/dbget-bin/www_bget?ptr:464445
106;89;GDPmannose 4,6-dehydratase [EC:4.2.1.47];GMDS;ptr:462390;ptr00051;http://www.kegg.jp/dbget-bin/www_bget?ptr:462390
107;90;mannose-1-phosphate guanylyltransferase [EC:2.7.7.13];GMPPA;ptr:459966;ptr00051;http://www.kegg.jp/dbget-bin/www_bget?ptr:459966+ptr:460378
108;94;6-phosphofructokinase 1 [EC:2.7.1.11];PFKP;ptr:450266;ptr00051;http://www.kegg.jp/dbget-bin/www_bget?ptr:450266+ptr:451863+ptr:458602
109;99;triosephosphate isomerase (TIM) [EC:5.3.1.1];TPI1;ptr:451799;ptr00051;http://www.kegg.jp/dbget-bin/www_bget?ptr:451799
110;100;fructose-bisphosphate aldolase, class I [EC:4.1.2.13];ALDOA;ptr:454362;ptr00051;http://www.kegg.jp/dbget-bin/www_bget?ptr:454362+ptr:464623+ptr:493951
111;101;triose/dihydroxyacetone kinase / FAD-AMP lyase (cyclizing) [EC:2.7.1.28 2.7.1.29 4.6.1.15];TKFC;ptr:466626;ptr00051;http://www.kegg.jp/dbget-bin/www_bget?ptr:466626
112;102;fructose-bisphosphate aldolase, class I [EC:4.1.2.13];ALDOA;ptr:454362;ptr00051;http://www.kegg.jp/dbget-bin/www_bget?ptr:454362+ptr:464623+ptr:493951
113;111;fructose-1,6-bisphosphatase I [EC:3.1.3.11];FBP1;ptr:465260;ptr00051;http://www.kegg.jp/dbget-bin/www_bget?ptr:465260+ptr:465261
114;123;fucokinase [EC:2.7.1.52];FUK;ptr:468015;ptr00051;http://www.kegg.jp/dbget-bin/www_bget?ptr:468015
115;208;L-fuconate dehydratase [EC:4.2.1.68];ENOSF1;ptr:739934;ptr00051;http://www.kegg.jp/dbget-bin/www_bget?ptr:739934
116;55;alpha-galactosidase [EC:3.2.1.22];GLA;ptr:107971043;ptr00052;http://www.kegg.jp/dbget-bin/www_bget?ptr:107971043
