;n;enzima;gen;nob_Keeg;path;Link
1;'14';fructose-bisphosphate aldolase, class I [EC:4.1.2.13];fbaB;eco:b2097;eco00010;http://www.kegg.jp/dbget-bin/www_bget?eco:b2097+eco:b2925
1;14;fructose-bisphosphate aldolase, class I [EC:4.1.2.13];fbaB;eco:b2097;eco00010;http://www.kegg.jp/dbget-bin/www_bget?eco:b2097+eco:b2925
2;46;S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1];frmA;eco:b0356;eco00010;http://www.kegg.jp/dbget-bin/www_bget?eco:b0356+eco:b1241+eco:b1478+eco:b3589
3;48;pyruvate dehydrogenase E1 component [EC:1.2.4.1];aceE;eco:b0114;eco00010;http://www.kegg.jp/dbget-bin/www_bget?eco:b0114
4;49;pyruvate dehydrogenase E1 component [EC:1.2.4.1];aceE;eco:b0114;eco00010;http://www.kegg.jp/dbget-bin/www_bget?eco:b0114
5;50;pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12];aceF;eco:b0115;eco00010;http://www.kegg.jp/dbget-bin/www_bget?eco:b0115
6;53;pyruvate kinase [EC:2.7.1.40];pykF;eco:b1676;eco00010;http://www.kegg.jp/dbget-bin/www_bget?eco:b1676+eco:b1854
7;55;enolase [EC:4.2.1.11];eno;eco:b2779;eco00010;http://www.kegg.jp/dbget-bin/www_bget?eco:b2779
8;56;2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11];gpmA;eco:b0755;eco00010;http://www.kegg.jp/dbget-bin/www_bget?eco:b0755
9;57;glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12];gapA;eco:b1779;eco00010;http://www.kegg.jp/dbget-bin/www_bget?eco:b1779
10;58;triosephosphate isomerase (TIM) [EC:5.3.1.1];tpiA;eco:b3919;eco00010;http://www.kegg.jp/dbget-bin/www_bget?eco:b3919
11;59;6-phosphofructokinase 2 [EC:2.7.1.11];pfkB;eco:b1723;eco00010;http://www.kegg.jp/dbget-bin/www_bget?eco:b1723+eco:b3916
12;60;fructose-1,6-bisphosphatase II [EC:3.1.3.11];yggF;eco:b2930;eco00010;http://www.kegg.jp/dbget-bin/www_bget?eco:b2930+eco:b3925+eco:b4232
13;61;glucose PTS system EIICB or EIICBA component [EC:2.7.1.199];ptsG;eco:b1101;eco00010;http://www.kegg.jp/dbget-bin/www_bget?eco:b1101+eco:b1621+eco:b2417
14;62;glucose-6-phosphate isomerase [EC:5.3.1.9];pgi;eco:b4025;eco00010;http://www.kegg.jp/dbget-bin/www_bget?eco:b4025
15;63;phosphoglucomutase [EC:5.4.2.2];pgm;eco:b0688;eco00010;http://www.kegg.jp/dbget-bin/www_bget?eco:b0688
16;64;glucose-6-phosphate isomerase [EC:5.3.1.9];pgi;eco:b4025;eco00010;http://www.kegg.jp/dbget-bin/www_bget?eco:b4025
17;66;glucokinase [EC:2.7.1.2];glk;eco:b2388;eco00010;http://www.kegg.jp/dbget-bin/www_bget?eco:b2388
18;67;glucose-6-phosphate isomerase [EC:5.3.1.9];pgi;eco:b4025;eco00010;http://www.kegg.jp/dbget-bin/www_bget?eco:b4025
19;68;glucose-6-phosphate 1-epimerase [EC:5.1.3.15];yeaD;eco:b1780;eco00010;http://www.kegg.jp/dbget-bin/www_bget?eco:b1780
20;69;aldose 1-epimerase [EC:5.1.3.3];galM;eco:b0756;eco00010;http://www.kegg.jp/dbget-bin/www_bget?eco:b0756+eco:b3879
21;70;glucokinase [EC:2.7.1.2];glk;eco:b2388;eco00010;http://www.kegg.jp/dbget-bin/www_bget?eco:b2388
22;73;glucose-1-phosphatase [EC:3.1.3.10];agp;eco:b1002;eco00010;http://www.kegg.jp/dbget-bin/www_bget?eco:b1002+eco:b3885
23;75;dihydrolipoamide dehydrogenase [EC:1.8.1.4];lpd;eco:b0116;eco00010;http://www.kegg.jp/dbget-bin/www_bget?eco:b0116
24;76;phosphoglycerate kinase [EC:2.7.2.3];pgk;eco:b2926;eco00010;http://www.kegg.jp/dbget-bin/www_bget?eco:b2926
25;79;sugar PTS system EIIA component [EC:2.7.1.-];crr;eco:b2417;eco00010;http://www.kegg.jp/dbget-bin/www_bget?eco:b2417+eco:b2715
