;n;enzima;gen;nob_Keeg;path;link
1;'18';fructose-bisphosphate aldolase, class I [EC:4.1.2.13];ALDOA;hsa:226;hsa00010;http://www.kegg.jp/dbget-bin/www_bget?hsa:226+hsa:229+hsa:230
1;18;fructose-bisphosphate aldolase, class I [EC:4.1.2.13];ALDOA;hsa:226;hsa00010;http://www.kegg.jp/dbget-bin/www_bget?hsa:226+hsa:229+hsa:230
2;42;aldehyde dehydrogenase (NAD+) [EC:1.2.1.3];ALDH2;hsa:217;hsa00010;http://www.kegg.jp/dbget-bin/www_bget?hsa:217+hsa:219+hsa:223+hsa:224+hsa:501
3;44;aldehyde dehydrogenase (NAD(P)+) [EC:1.2.1.5];ALDH3A1;hsa:218;hsa00010;http://www.kegg.jp/dbget-bin/www_bget?hsa:218+hsa:220+hsa:221+hsa:222
4;49;alcohol dehydrogenase (NADP+) [EC:1.1.1.2];AKR1A1;hsa:10327;hsa00010;http://www.kegg.jp/dbget-bin/www_bget?hsa:10327
5;50;alcohol dehydrogenase 1/7 [EC:1.1.1.1];ADH1A;hsa:124;hsa00010;http://www.kegg.jp/dbget-bin/www_bget?hsa:124+hsa:125+hsa:126+hsa:127+hsa:128+hsa:130+hsa:131
6;52;pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1];PDHA1;hsa:5160;hsa00010;http://www.kegg.jp/dbget-bin/www_bget?hsa:5160+hsa:5161+hsa:5162
7;53;pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1];PDHA1;hsa:5160;hsa00010;http://www.kegg.jp/dbget-bin/www_bget?hsa:5160+hsa:5161+hsa:5162
8;54;pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12];DLAT;hsa:1737;hsa00010;http://www.kegg.jp/dbget-bin/www_bget?hsa:1737
9;55;L-lactate dehydrogenase [EC:1.1.1.27];LDHAL6A;hsa:160287;hsa00010;http://www.kegg.jp/dbget-bin/www_bget?hsa:160287+hsa:3939+hsa:3945+hsa:3948+hsa:92483
10;57;pyruvate kinase isozymes R/L [EC:2.7.1.40];PKLR;hsa:5313;hsa00010;http://www.kegg.jp/dbget-bin/www_bget?hsa:5313+hsa:5315
11;59;enolase [EC:4.2.1.11];ENO1;hsa:2023;hsa00010;http://www.kegg.jp/dbget-bin/www_bget?hsa:2023+hsa:2026+hsa:2027+hsa:387712
12;60;2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11];PGAM4;hsa:441531;hsa00010;http://www.kegg.jp/dbget-bin/www_bget?hsa:441531+hsa:5223+hsa:5224+hsa:669
13;61;glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12];GAPDH;hsa:2597;hsa00010;http://www.kegg.jp/dbget-bin/www_bget?hsa:2597+hsa:26330
14;62;triosephosphate isomerase (TIM) [EC:5.3.1.1];TPI1;hsa:7167;hsa00010;http://www.kegg.jp/dbget-bin/www_bget?hsa:7167
15;63;6-phosphofructokinase 1 [EC:2.7.1.11];PFKL;hsa:5211;hsa00010;http://www.kegg.jp/dbget-bin/www_bget?hsa:5211+hsa:5213+hsa:5214
16;64;fructose-1,6-bisphosphatase I [EC:3.1.3.11];FBP1;hsa:2203;hsa00010;http://www.kegg.jp/dbget-bin/www_bget?hsa:2203+hsa:8789
17;66;glucose-6-phosphate isomerase [EC:5.3.1.9];GPI;hsa:2821;hsa00010;http://www.kegg.jp/dbget-bin/www_bget?hsa:2821
18;67;phosphoglucomutase [EC:5.4.2.2];PGM1;hsa:5236;hsa00010;http://www.kegg.jp/dbget-bin/www_bget?hsa:5236+hsa:55276
19;68;glucose-6-phosphate isomerase [EC:5.3.1.9];GPI;hsa:2821;hsa00010;http://www.kegg.jp/dbget-bin/www_bget?hsa:2821
20;69;hexokinase [EC:2.7.1.1];HK1;hsa:3098;hsa00010;http://www.kegg.jp/dbget-bin/www_bget?hsa:3098+hsa:3099+hsa:3101+hsa:80201
21;70;glucokinase [EC:2.7.1.2];GCK;hsa:2645;hsa00010;http://www.kegg.jp/dbget-bin/www_bget?hsa:2645
22;71;glucose-6-phosphate isomerase [EC:5.3.1.9];GPI;hsa:2821;hsa00010;http://www.kegg.jp/dbget-bin/www_bget?hsa:2821
23;73;aldose 1-epimerase [EC:5.1.3.3];GALM;hsa:130589;hsa00010;http://www.kegg.jp/dbget-bin/www_bget?hsa:130589
24;74;glucokinase [EC:2.7.1.2];GCK;hsa:2645;hsa00010;http://www.kegg.jp/dbget-bin/www_bget?hsa:2645
25;75;hexokinase [EC:2.7.1.1];HK1;hsa:3098;hsa00010;http://www.kegg.jp/dbget-bin/www_bget?hsa:3098+hsa:3099+hsa:3101+hsa:80201
26;76;glucose-6-phosphatase [EC:3.1.3.9];G6PC;hsa:2538;hsa00010;http://www.kegg.jp/dbget-bin/www_bget?hsa:2538+hsa:57818+hsa:92579
27;79;dihydrolipoamide dehydrogenase [EC:1.8.1.4];DLD;hsa:1738;hsa00010;http://www.kegg.jp/dbget-bin/www_bget?hsa:1738
28;80;phosphoglycerate kinase [EC:2.7.2.3];PGK1;hsa:5230;hsa00010;http://www.kegg.jp/dbget-bin/www_bget?hsa:5230+hsa:5232
29;117;phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32];PCK1;hsa:5105;hsa00010;http://www.kegg.jp/dbget-bin/www_bget?hsa:5105+hsa:5106
30;137;bisphosphoglycerate/phosphoglycerate mutase [EC:5.4.2.4 5.4.2.11];BPGM;hsa:669;hsa00010;http://www.kegg.jp/dbget-bin/www_bget?hsa:669
31;138;bisphosphoglycerate/phosphoglycerate mutase [EC:5.4.2.4 5.4.2.11];BPGM;hsa:669;hsa00010;http://www.kegg.jp/dbget-bin/www_bget?hsa:669
32;140;acetyl-CoA synthetase [EC:6.2.1.1];ACSS2;hsa:55902;hsa00010;http://www.kegg.jp/dbget-bin/www_bget?hsa:55902+hsa:84532
33;143;ADP-dependent glucokinase [EC:2.7.1.147];ADPGK;hsa:83440;hsa00010;http://www.kegg.jp/dbget-bin/www_bget?hsa:83440
34;144;ADP-dependent glucokinase [EC:2.7.1.147];ADPGK;hsa:83440;hsa00010;http://www.kegg.jp/dbget-bin/www_bget?hsa:83440
35;150;multiple inositol-polyphosphate phosphatase / 2,3-bisphosphoglycerate 3-phosphatase [EC:3.1.3.62 3.1.3.80];MINPP1;hsa:9562;hsa00010;http://www.kegg.jp/dbget-bin/www_bget?hsa:9562
36;33;dihydrolipoamide dehydrogenase [EC:1.8.1.4];DLD;hsa:1738;hsa00020;http://www.kegg.jp/dbget-bin/www_bget?hsa:1738
37;34;2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2];OGDH;hsa:4967;hsa00020;http://www.kegg.jp/dbget-bin/www_bget?hsa:4967+hsa:55753
38;35;2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2];OGDH;hsa:4967;hsa00020;http://www.kegg.jp/dbget-bin/www_bget?hsa:4967+hsa:55753
39;36;2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61];DLST;hsa:1743;hsa00020;http://www.kegg.jp/dbget-bin/www_bget?hsa:1743
40;37;succinyl-CoA synthetase beta subunit [EC:6.2.1.4 6.2.1.5];SUCLG2;hsa:8801;hsa00020;http://www.kegg.jp/dbget-bin/www_bget?hsa:8801+hsa:8802+hsa:8803
41;38;succinyl-CoA synthetase beta subunit [EC:6.2.1.4 6.2.1.5];SUCLG2;hsa:8801;hsa00020;http://www.kegg.jp/dbget-bin/www_bget?hsa:8801+hsa:8802+hsa:8803
42;39;isocitrate dehydrogenase [EC:1.1.1.42];IDH1;hsa:3417;hsa00020;http://www.kegg.jp/dbget-bin/www_bget?hsa:3417+hsa:3418
43;40;isocitrate dehydrogenase (NAD+) [EC:1.1.1.41];IDH3A;hsa:3419;hsa00020;http://www.kegg.jp/dbget-bin/www_bget?hsa:3419+hsa:3420+hsa:3421
44;41;isocitrate dehydrogenase [EC:1.1.1.42];IDH1;hsa:3417;hsa00020;http://www.kegg.jp/dbget-bin/www_bget?hsa:3417+hsa:3418
45;42;ATP citrate (pro-S)-lyase [EC:2.3.3.8];ACLY;hsa:47;hsa00020;http://www.kegg.jp/dbget-bin/www_bget?hsa:47
46;43;fumarate hydratase, class II [EC:4.2.1.2];FH;hsa:2271;hsa00020;http://www.kegg.jp/dbget-bin/www_bget?hsa:2271
47;44;aconitate hydratase [EC:4.2.1.3];ACO1;hsa:48;hsa00020;http://www.kegg.jp/dbget-bin/www_bget?hsa:48+hsa:50
48;45;aconitate hydratase [EC:4.2.1.3];ACO1;hsa:48;hsa00020;http://www.kegg.jp/dbget-bin/www_bget?hsa:48+hsa:50
49;46;citrate synthase [EC:2.3.3.1];CS;hsa:1431;hsa00020;http://www.kegg.jp/dbget-bin/www_bget?hsa:1431
50;47;malate dehydrogenase [EC:1.1.1.37];MDH1;hsa:4190;hsa00020;http://www.kegg.jp/dbget-bin/www_bget?hsa:4190+hsa:4191
51;48;pyruvate carboxylase [EC:6.4.1.1];PC;hsa:5091;hsa00020;http://www.kegg.jp/dbget-bin/www_bget?hsa:5091
52;84;pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1];PDHA1;hsa:5160;hsa00020;http://www.kegg.jp/dbget-bin/www_bget?hsa:5160+hsa:5161+hsa:5162
53;86;pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1];PDHA1;hsa:5160;hsa00020;http://www.kegg.jp/dbget-bin/www_bget?hsa:5160+hsa:5161+hsa:5162
54;89;dihydrolipoamide dehydrogenase [EC:1.8.1.4];DLD;hsa:1738;hsa00020;http://www.kegg.jp/dbget-bin/www_bget?hsa:1738
55;91;pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12];DLAT;hsa:1737;hsa00020;http://www.kegg.jp/dbget-bin/www_bget?hsa:1737
56;97;phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32];PCK1;hsa:5105;hsa00020;http://www.kegg.jp/dbget-bin/www_bget?hsa:5105+hsa:5106
57;107;succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1];SDHA;hsa:6389;hsa00020;http://www.kegg.jp/dbget-bin/www_bget?hsa:6389+hsa:6390+hsa:6391+hsa:6392
58;42;glucose-6-phosphate isomerase [EC:5.3.1.9];GPI;hsa:2821;hsa00030;http://www.kegg.jp/dbget-bin/www_bget?hsa:2821
59;45;ribokinase [EC:2.7.1.15];RBKS;hsa:64080;hsa00030;http://www.kegg.jp/dbget-bin/www_bget?hsa:64080
60;46;phosphoglucomutase / phosphopentomutase [EC:5.4.2.2 5.4.2.7];PGM2;hsa:55276;hsa00030;http://www.kegg.jp/dbget-bin/www_bget?hsa:55276
61;47;deoxyribose-phosphate aldolase [EC:4.1.2.4];DERA;hsa:51071;hsa00030;http://www.kegg.jp/dbget-bin/www_bget?hsa:51071
62;48;ribose-phosphate pyrophosphokinase [EC:2.7.6.1];PRPS1L1;hsa:221823;hsa00030;http://www.kegg.jp/dbget-bin/www_bget?hsa:221823+hsa:5631+hsa:5634
63;49;phosphoglucomutase / phosphopentomutase [EC:5.4.2.2 5.4.2.7];PGM2;hsa:55276;hsa00030;http://www.kegg.jp/dbget-bin/www_bget?hsa:55276
64;50;ribokinase [EC:2.7.1.15];RBKS;hsa:64080;hsa00030;http://www.kegg.jp/dbget-bin/www_bget?hsa:64080
65;51;transketolase [EC:2.2.1.1];TKT;hsa:7086;hsa00030;http://www.kegg.jp/dbget-bin/www_bget?hsa:7086+hsa:8277+hsa:84076
66;52;ribose 5-phosphate isomerase A [EC:5.3.1.6];RPIA;hsa:22934;hsa00030;http://www.kegg.jp/dbget-bin/www_bget?hsa:22934
67;53;ribulose-phosphate 3-epimerase [EC:5.1.3.1];RPE;hsa:6120;hsa00030;http://www.kegg.jp/dbget-bin/www_bget?hsa:6120+hsa:729020
68;54;transketolase [EC:2.2.1.1];TKT;hsa:7086;hsa00030;http://www.kegg.jp/dbget-bin/www_bget?hsa:7086+hsa:8277+hsa:84076
