;n;enzima;gen;nob_Keeg;path;link
1;'18';fructose-bisphosphate aldolase, class II [EC:4.1.2.13];FBA1;sce:YKL060C;sce00010;http://www.kegg.jp/dbget-bin/www_bget?sce:YKL060C
1;18;fructose-bisphosphate aldolase, class II [EC:4.1.2.13];FBA1;sce:YKL060C;sce00010;http://www.kegg.jp/dbget-bin/www_bget?sce:YKL060C
2;42;aldehyde dehydrogenase (NAD+) [EC:1.2.1.3];ALD5;sce:YER073W;sce00010;http://www.kegg.jp/dbget-bin/www_bget?sce:YER073W+sce:YMR110C+sce:YOR374W+sce:YPL061W
3;44;aldehyde dehydrogenase (NAD(P)+) [EC:1.2.1.5];ALD3;sce:YMR169C;sce00010;http://www.kegg.jp/dbget-bin/www_bget?sce:YMR169C+sce:YMR170C
4;48;pyruvate decarboxylase [EC:4.1.1.1];THI3;sce:YDL080C;sce00010;http://www.kegg.jp/dbget-bin/www_bget?sce:YDL080C+sce:YGR087C+sce:YLR044C+sce:YLR134W
5;49;alcohol dehydrogenase (NADP+) [EC:1.1.1.2];ADH7;sce:YCR105W;sce00010;http://www.kegg.jp/dbget-bin/www_bget?sce:YCR105W+sce:YMR318C
6;50;alcohol dehydrogenase, propanol-preferring [EC:1.1.1.1];ADH5;sce:YBR145W;sce00010;http://www.kegg.jp/dbget-bin/www_bget?sce:YBR145W+sce:YDL168W+sce:YGL256W+sce:YMR083W+sce:YMR303C+sce:YOL086C
7;51;pyruvate decarboxylase [EC:4.1.1.1];THI3;sce:YDL080C;sce00010;http://www.kegg.jp/dbget-bin/www_bget?sce:YDL080C+sce:YGR087C+sce:YLR044C+sce:YLR134W
8;52;pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1];PDB1;sce:YBR221C;sce00010;http://www.kegg.jp/dbget-bin/www_bget?sce:YBR221C+sce:YER178W
9;53;pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1];PDB1;sce:YBR221C;sce00010;http://www.kegg.jp/dbget-bin/www_bget?sce:YBR221C+sce:YER178W
10;54;pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12];LAT1;sce:YNL071W;sce00010;http://www.kegg.jp/dbget-bin/www_bget?sce:YNL071W
11;57;pyruvate kinase [EC:2.7.1.40];CDC19;sce:YAL038W;sce00010;http://www.kegg.jp/dbget-bin/www_bget?sce:YAL038W+sce:YOR347C
12;59;enolase [EC:4.2.1.11];ENO1;sce:YGR254W;sce00010;http://www.kegg.jp/dbget-bin/www_bget?sce:YGR254W+sce:YHR174W+sce:YMR323W+sce:YOR393W+sce:YPL281C
13;60;2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11];GPM2;sce:YDL021W;sce00010;http://www.kegg.jp/dbget-bin/www_bget?sce:YDL021W+sce:YKL152C+sce:YOL056W
14;61;glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12];TDH3;sce:YGR192C;sce00010;http://www.kegg.jp/dbget-bin/www_bget?sce:YGR192C+sce:YJL052W+sce:YJR009C
15;62;triosephosphate isomerase (TIM) [EC:5.3.1.1];TPI1;sce:YDR050C;sce00010;http://www.kegg.jp/dbget-bin/www_bget?sce:YDR050C
16;63;6-phosphofructokinase 1 [EC:2.7.1.11];PFK1;sce:YGR240C;sce00010;http://www.kegg.jp/dbget-bin/www_bget?sce:YGR240C+sce:YMR205C
17;64;fructose-1,6-bisphosphatase I [EC:3.1.3.11];FBP1;sce:YLR377C;sce00010;http://www.kegg.jp/dbget-bin/www_bget?sce:YLR377C
18;66;glucose-6-phosphate isomerase [EC:5.3.1.9];PGI1;sce:YBR196C;sce00010;http://www.kegg.jp/dbget-bin/www_bget?sce:YBR196C
19;67;phosphoglucomutase [EC:5.4.2.2];PGM1;sce:YKL127W;sce00010;http://www.kegg.jp/dbget-bin/www_bget?sce:YKL127W+sce:YMR105C+sce:YMR278W
20;68;glucose-6-phosphate isomerase [EC:5.3.1.9];PGI1;sce:YBR196C;sce00010;http://www.kegg.jp/dbget-bin/www_bget?sce:YBR196C
21;69;hexokinase [EC:2.7.1.1];GLK1;sce:YCL040W;sce00010;http://www.kegg.jp/dbget-bin/www_bget?sce:YCL040W+sce:YDR516C+sce:YFR053C+sce:YGL253W+sce:YLR446W
22;71;glucose-6-phosphate isomerase [EC:5.3.1.9];PGI1;sce:YBR196C;sce00010;http://www.kegg.jp/dbget-bin/www_bget?sce:YBR196C
23;72;glucose-6-phosphate 1-epimerase [EC:5.1.3.15];(RefSeq);sce:YMR099C;sce00010;http://www.kegg.jp/dbget-bin/www_bget?sce:YMR099C
24;73;UDP-glucose 4-epimerase [EC:5.1.3.2];GAL10;sce:YBR019C;sce00010;http://www.kegg.jp/dbget-bin/www_bget?sce:YBR019C
25;75;hexokinase [EC:2.7.1.1];GLK1;sce:YCL040W;sce00010;http://www.kegg.jp/dbget-bin/www_bget?sce:YCL040W+sce:YDR516C+sce:YFR053C+sce:YGL253W+sce:YLR446W
26;79;dihydrolipoamide dehydrogenase [EC:1.8.1.4];LPD1;sce:YFL018C;sce00010;http://www.kegg.jp/dbget-bin/www_bget?sce:YFL018C
27;80;phosphoglycerate kinase [EC:2.7.2.3];PGK1;sce:YCR012W;sce00010;http://www.kegg.jp/dbget-bin/www_bget?sce:YCR012W
28;121;phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49];PCK1;sce:YKR097W;sce00010;http://www.kegg.jp/dbget-bin/www_bget?sce:YKR097W
29;140;acetyl-CoA synthetase [EC:6.2.1.1];ACS1;sce:YAL054C;sce00010;http://www.kegg.jp/dbget-bin/www_bget?sce:YAL054C+sce:YLR153C
30;33;dihydrolipoamide dehydrogenase [EC:1.8.1.4];LPD1;sce:YFL018C;sce00020;http://www.kegg.jp/dbget-bin/www_bget?sce:YFL018C
31;34;2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2];KGD1;sce:YIL125W;sce00020;http://www.kegg.jp/dbget-bin/www_bget?sce:YIL125W
32;35;2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2];KGD1;sce:YIL125W;sce00020;http://www.kegg.jp/dbget-bin/www_bget?sce:YIL125W
