;n;enzima;gen;nob_Keeg;path;link
1;'14';fructose-bisphosphate aldolase, class I [EC:4.1.2.13];(GenBank);sfx:S2285;sfx00010;http://www.kegg.jp/dbget-bin/www_bget?sfx:S2285+sfx:S3110
1;14;fructose-bisphosphate aldolase, class I [EC:4.1.2.13];(GenBank);sfx:S2285;sfx00010;http://www.kegg.jp/dbget-bin/www_bget?sfx:S2285+sfx:S3110
2;46;acetaldehyde dehydrogenase / alcohol dehydrogenase [EC:1.2.1.10 1.1.1.1];adhE;sfx:S1326;sfx00010;http://www.kegg.jp/dbget-bin/www_bget?sfx:S1326+sfx:S1880+sfx:S4141
3;48;pyruvate dehydrogenase E1 component [EC:1.2.4.1];aceE;sfx:S0113;sfx00010;http://www.kegg.jp/dbget-bin/www_bget?sfx:S0113
4;49;pyruvate dehydrogenase E1 component [EC:1.2.4.1];aceE;sfx:S0113;sfx00010;http://www.kegg.jp/dbget-bin/www_bget?sfx:S0113
5;50;pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12];aceF;sfx:S0114;sfx00010;http://www.kegg.jp/dbget-bin/www_bget?sfx:S0114
6;53;pyruvate kinase [EC:2.7.1.40];pykF;sfx:S1838;sfx00010;http://www.kegg.jp/dbget-bin/www_bget?sfx:S1838+sfx:S1930
7;55;enolase [EC:4.2.1.11];eno;sfx:S2988;sfx00010;http://www.kegg.jp/dbget-bin/www_bget?sfx:S2988
8;56;2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11];gpmA;sfx:S0557;sfx00010;http://www.kegg.jp/dbget-bin/www_bget?sfx:S0557
9;57;glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12];gapA;sfx:S1559;sfx00010;http://www.kegg.jp/dbget-bin/www_bget?sfx:S1559
10;58;triosephosphate isomerase (TIM) [EC:5.3.1.1];tpiA;sfx:S3750;sfx00010;http://www.kegg.jp/dbget-bin/www_bget?sfx:S3750
11;59;6-phosphofructokinase 2 [EC:2.7.1.11];pfkB;sfx:S1624;sfx00010;http://www.kegg.jp/dbget-bin/www_bget?sfx:S1624+sfx:S3753
12;60;fructose-1,6-bisphosphatase II [EC:3.1.3.11];yggF;sfx:S3121;sfx00010;http://www.kegg.jp/dbget-bin/www_bget?sfx:S3121+sfx:S3744+sfx:S4520
13;61;glucose PTS system EIICB or EIICBA component [EC:2.7.1.199];ptsG;sfx:S1185;sfx00010;http://www.kegg.jp/dbget-bin/www_bget?sfx:S1185+sfx:S1778+sfx:S2618
14;62;glucose-6-phosphate isomerase [EC:5.3.1.9];pgi;sfx:S3551;sfx00010;http://www.kegg.jp/dbget-bin/www_bget?sfx:S3551
15;63;phosphoglucomutase [EC:5.4.2.2];pgm;sfx:S0616;sfx00010;http://www.kegg.jp/dbget-bin/www_bget?sfx:S0616
16;64;glucose-6-phosphate isomerase [EC:5.3.1.9];pgi;sfx:S3551;sfx00010;http://www.kegg.jp/dbget-bin/www_bget?sfx:S3551
17;66;glucokinase [EC:2.7.1.2];glk;sfx:S2593;sfx00010;http://www.kegg.jp/dbget-bin/www_bget?sfx:S2593
18;67;glucose-6-phosphate isomerase [EC:5.3.1.9];pgi;sfx:S3551;sfx00010;http://www.kegg.jp/dbget-bin/www_bget?sfx:S3551
19;68;glucose-6-phosphate 1-epimerase [EC:5.1.3.15];yeaD;sfx:S1558;sfx00010;http://www.kegg.jp/dbget-bin/www_bget?sfx:S1558
20;69;aldose 1-epimerase [EC:5.1.3.3];galM;sfx:S0556;sfx00010;http://www.kegg.jp/dbget-bin/www_bget?sfx:S0556+sfx:S3795
21;70;glucokinase [EC:2.7.1.2];glk;sfx:S2593;sfx00010;http://www.kegg.jp/dbget-bin/www_bget?sfx:S2593
22;73;glucose-1-phosphatase [EC:3.1.3.10];agp;sfx:S1075;sfx00010;http://www.kegg.jp/dbget-bin/www_bget?sfx:S1075+sfx:S3789
23;75;dihydrolipoamide dehydrogenase [EC:1.8.1.4];lpdA;sfx:S0115;sfx00010;http://www.kegg.jp/dbget-bin/www_bget?sfx:S0115
24;76;phosphoglycerate kinase [EC:2.7.2.3];pgk;sfx:S3111;sfx00010;http://www.kegg.jp/dbget-bin/www_bget?sfx:S3111
25;79;sugar PTS system EIIA component [EC:2.7.1.-];crr;sfx:S2618;sfx00010;http://www.kegg.jp/dbget-bin/www_bget?sfx:S2618
26;80;sugar PTS system EIIA component [EC:2.7.1.-];crr;sfx:S2618;sfx00010;http://www.kegg.jp/dbget-bin/www_bget?sfx:S2618
27;81;6-phospho-beta-glucosidase [EC:3.2.1.86];celF;sfx:S1611;sfx00010;http://www.kegg.jp/dbget-bin/www_bget?sfx:S1611+sfx:S3086+sfx:S4038
28;82;6-phospho-beta-glucosidase [EC:3.2.1.86];celF;sfx:S1611;sfx00010;http://www.kegg.jp/dbget-bin/www_bget?sfx:S1611+sfx:S3086+sfx:S4038
29;116;phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49];pckA;sfx:S4341;sfx00010;http://www.kegg.jp/dbget-bin/www_bget?sfx:S4341
30;124;pyruvate-ferredoxin/flavodoxin oxidoreductase [EC:1.2.7.1 1.2.7.-];ydbK;sfx:S1451;sfx00010;http://www.kegg.jp/dbget-bin/www_bget?sfx:S1451
31;137;2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12];yibO;sfx:S4117;sfx00010;http://www.kegg.jp/dbget-bin/www_bget?sfx:S4117+sfx:S4698
32;138;aldehyde dehydrogenase [EC:1.2.1.-];aldB;sfx:S4142;sfx00010;http://www.kegg.jp/dbget-bin/www_bget?sfx:S4142
33;28;dihydrolipoamide dehydrogenase [EC:1.8.1.4];lpdA;sfx:S0115;sfx00020;http://www.kegg.jp/dbget-bin/www_bget?sfx:S0115
34;29;2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2];sucA;sfx:S0584;sfx00020;http://www.kegg.jp/dbget-bin/www_bget?sfx:S0584
35;30;2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2];sucA;sfx:S0584;sfx00020;http://www.kegg.jp/dbget-bin/www_bget?sfx:S0584
36;31;2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61];sucB;sfx:S0583;sfx00020;http://www.kegg.jp/dbget-bin/www_bget?sfx:S0583
37;32;succinyl-CoA synthetase alpha subunit [EC:6.2.1.5];sucD;sfx:S0581;sfx00020;http://www.kegg.jp/dbget-bin/www_bget?sfx:S0581+sfx:S0582
38;34;isocitrate dehydrogenase [EC:1.1.1.42];icdA;sfx:S1238;sfx00020;http://www.kegg.jp/dbget-bin/www_bget?sfx:S1238
39;36;isocitrate dehydrogenase [EC:1.1.1.42];icdA;sfx:S1238;sfx00020;http://www.kegg.jp/dbget-bin/www_bget?sfx:S1238
40;38;fumarate hydratase, class II [EC:4.2.1.2];fumC;sfx:S1765;sfx00020;http://www.kegg.jp/dbget-bin/www_bget?sfx:S1765+sfx:S1766+sfx:S3629
41;39;aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99];acnB;sfx:S0117;sfx00020;http://www.kegg.jp/dbget-bin/www_bget?sfx:S0117+sfx:S0939+sfx:S1363
42;40;aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99];acnB;sfx:S0117;sfx00020;http://www.kegg.jp/dbget-bin/www_bget?sfx:S0117+sfx:S0939+sfx:S1363
43;41;citrate synthase [EC:2.3.3.1];gltA;sfx:S0590;sfx00020;http://www.kegg.jp/dbget-bin/www_bget?sfx:S0590
44;42;malate dehydrogenase [EC:1.1.1.37];mdh;sfx:S3491;sfx00020;http://www.kegg.jp/dbget-bin/www_bget?sfx:S3491
45;75;pyruvate dehydrogenase E1 component [EC:1.2.4.1];aceE;sfx:S0113;sfx00020;http://www.kegg.jp/dbget-bin/www_bget?sfx:S0113
46;77;pyruvate dehydrogenase E1 component [EC:1.2.4.1];aceE;sfx:S0113;sfx00020;http://www.kegg.jp/dbget-bin/www_bget?sfx:S0113
47;80;dihydrolipoamide dehydrogenase [EC:1.8.1.4];lpdA;sfx:S0115;sfx00020;http://www.kegg.jp/dbget-bin/www_bget?sfx:S0115
48;82;pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12];aceF;sfx:S0114;sfx00020;http://www.kegg.jp/dbget-bin/www_bget?sfx:S0114
49;86;phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49];pckA;sfx:S4341;sfx00020;http://www.kegg.jp/dbget-bin/www_bget?sfx:S4341
50;92;succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1 1.3.5.4];sdhB;sfx:S0586;sfx00020;http://www.kegg.jp/dbget-bin/www_bget?sfx:S0586+sfx:S0587+sfx:S0588+sfx:S0589
51;95;succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1 1.3.5.4];sdhB;sfx:S0586;sfx00020;http://www.kegg.jp/dbget-bin/www_bget?sfx:S0586+sfx:S0587+sfx:S0588+sfx:S0589+sfx:S4574+sfx:S4575+sfx:S4576+sfx:S4577
52;101;pyruvate-ferredoxin/flavodoxin oxidoreductase [EC:1.2.7.1 1.2.7.-];ydbK;sfx:S1451;sfx00020;http://www.kegg.jp/dbget-bin/www_bget?sfx:S1451
53;37;glucose-6-phosphate isomerase [EC:5.3.1.9];pgi;sfx:S3551;sfx00030;http://www.kegg.jp/dbget-bin/www_bget?sfx:S3551
54;38;2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.14 4.1.3.42];eda;sfx:S1926;sfx00030;http://www.kegg.jp/dbget-bin/www_bget?sfx:S1926
55;40;ribokinase [EC:2.7.1.15];rbsK;sfx:S3932;sfx00030;http://www.kegg.jp/dbget-bin/www_bget?sfx:S3932
56;41;phosphopentomutase [EC:5.4.2.7];deoB;sfx:S4686;sfx00030;http://www.kegg.jp/dbget-bin/www_bget?sfx:S4686
57;42;deoxyribose-phosphate aldolase [EC:4.1.2.4];deoC;sfx:S4684;sfx00030;http://www.kegg.jp/dbget-bin/www_bget?sfx:S4684
58;43;ribose-phosphate pyrophosphokinase [EC:2.7.6.1];prsA;sfx:S1294;sfx00030;http://www.kegg.jp/dbget-bin/www_bget?sfx:S1294
59;44;phosphopentomutase [EC:5.4.2.7];deoB;sfx:S4686;sfx00030;http://www.kegg.jp/dbget-bin/www_bget?sfx:S4686
60;45;ribokinase [EC:2.7.1.15];rbsK;sfx:S3932;sfx00030;http://www.kegg.jp/dbget-bin/www_bget?sfx:S3932
61;46;transketolase [EC:2.2.1.1];tktB;sfx:S2658;sfx00030;http://www.kegg.jp/dbget-bin/www_bget?sfx:S2658+sfx:S3127
62;47;ribose 5-phosphate isomerase A [EC:5.3.1.6];rpiA;sfx:S3099;sfx00030;http://www.kegg.jp/dbget-bin/www_bget?sfx:S3099
63;48;ribulose-phosphate 3-epimerase [EC:5.1.3.1];rpe;sfx:S4358;sfx00030;http://www.kegg.jp/dbget-bin/www_bget?sfx:S4358
64;49;transketolase [EC:2.2.1.1];tktB;sfx:S2658;sfx00030;http://www.kegg.jp/dbget-bin/www_bget?sfx:S2658+sfx:S3127
65;50;fructose-bisphosphate aldolase, class I [EC:4.1.2.13];(GenBank);sfx:S2285;sfx00030;http://www.kegg.jp/dbget-bin/www_bget?sfx:S2285+sfx:S3110
66;51;6-phosphofructokinase 2 [EC:2.7.1.11];pfkB;sfx:S1624;sfx00030;http://www.kegg.jp/dbget-bin/www_bget?sfx:S1624+sfx:S3753
