;n;enzima;gen;nob_Keeg;path;link
1;'14';fructose-bisphosphate aldolase, class I [EC:4.1.2.13];PDE345;ath:AT2G01140;ath00010;http://www.kegg.jp/dbget-bin/www_bget?ath:AT2G01140+ath:AT2G21330+ath:AT2G36460+ath:AT3G52930+ath:AT4G26520+ath:AT4G26530+ath:AT4G38970+ath:AT5G03690
1;14;fructose-bisphosphate aldolase, class I [EC:4.1.2.13];PDE345;ath:AT2G01140;ath00010;http://www.kegg.jp/dbget-bin/www_bget?ath:AT2G01140+ath:AT2G21330+ath:AT2G36460+ath:AT3G52930+ath:AT4G26520+ath:AT4G26530+ath:AT4G38970+ath:AT5G03690
2;38;aldehyde dehydrogenase (NAD+) [EC:1.2.1.3];ALDH2B7;ath:AT1G23800;ath00010;http://www.kegg.jp/dbget-bin/www_bget?ath:AT1G23800+ath:AT1G44170+ath:AT1G54100+ath:AT3G48000+ath:AT4G34240+ath:AT4G36250
3;44;pyruvate decarboxylase [EC:4.1.1.1];(RefSeq);ath:AT4G33070;ath00010;http://www.kegg.jp/dbget-bin/www_bget?ath:AT4G33070+ath:AT5G01320+ath:AT5G01330+ath:AT5G54960
4;46;S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1];(RefSeq);ath:AT1G22430;ath00010;http://www.kegg.jp/dbget-bin/www_bget?ath:AT1G22430+ath:AT1G22440+ath:AT1G32780+ath:AT1G64710+ath:AT1G77120+ath:AT4G22110+ath:AT5G24760+ath:AT5G42250+ath:AT5G43940
5;47;pyruvate decarboxylase [EC:4.1.1.1];(RefSeq);ath:AT4G33070;ath00010;http://www.kegg.jp/dbget-bin/www_bget?ath:AT4G33070+ath:AT5G01320+ath:AT5G01330+ath:AT5G54960
6;48;pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1];PDH-E1_ALPHA;ath:AT1G01090;ath00010;http://www.kegg.jp/dbget-bin/www_bget?ath:AT1G01090+ath:AT1G24180+ath:AT1G30120+ath:AT1G59900+ath:AT2G34590+ath:AT5G50850
7;49;pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1];PDH-E1_ALPHA;ath:AT1G01090;ath00010;http://www.kegg.jp/dbget-bin/www_bget?ath:AT1G01090+ath:AT1G24180+ath:AT1G30120+ath:AT1G59900+ath:AT2G34590+ath:AT5G50850
8;50;pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12];EMB3003;ath:AT1G34430;ath00010;http://www.kegg.jp/dbget-bin/www_bget?ath:AT1G34430+ath:AT1G54220+ath:AT3G13930+ath:AT3G25860+ath:AT3G52200
9;51;L-lactate dehydrogenase [EC:1.1.1.27];(RefSeq);ath:AT4G17260;ath00010;http://www.kegg.jp/dbget-bin/www_bget?ath:AT4G17260
10;53;pyruvate kinase [EC:2.7.1.40];PKp3;ath:AT1G32440;ath00010;http://www.kegg.jp/dbget-bin/www_bget?ath:AT1G32440+ath:AT2G36580+ath:AT3G04050+ath:AT3G22960+ath:AT3G25960+ath:AT3G49160+ath:AT3G52990+ath:AT3G55650+ath:AT3G55810+ath:AT4G26390+ath:AT5G08570+ath:AT5G52920+ath:AT5G56350+ath:AT5G63680
11;55;enolase [EC:4.2.1.11];ENO1;ath:AT1G74030;ath00010;http://www.kegg.jp/dbget-bin/www_bget?ath:AT1G74030+ath:AT2G29560+ath:AT2G36530
12;56;2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11];(RefSeq);ath:AT1G22170;ath00010;http://www.kegg.jp/dbget-bin/www_bget?ath:AT1G22170+ath:AT1G78050
13;57;glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12];GAPC2;ath:AT1G13440;ath00010;http://www.kegg.jp/dbget-bin/www_bget?ath:AT1G13440+ath:AT1G16300+ath:AT1G79530+ath:AT3G04120
14;58;triosephosphate isomerase (TIM) [EC:5.3.1.1];TIM;ath:AT2G21170;ath00010;http://www.kegg.jp/dbget-bin/www_bget?ath:AT2G21170+ath:AT3G55440
15;59;6-phosphofructokinase 1 [EC:2.7.1.11];PFK5;ath:AT2G22480;ath00010;http://www.kegg.jp/dbget-bin/www_bget?ath:AT2G22480+ath:AT4G26270+ath:AT4G29220+ath:AT4G32840+ath:AT5G47810+ath:AT5G56630+ath:AT5G61580
16;60;fructose-1,6-bisphosphatase I [EC:3.1.3.11];FBP;ath:AT1G43670;ath00010;http://www.kegg.jp/dbget-bin/www_bget?ath:AT1G43670+ath:AT3G54050+ath:AT5G64380
17;62;glucose-6-phosphate isomerase [EC:5.3.1.9];PGI1;ath:AT4G24620;ath00010;http://www.kegg.jp/dbget-bin/www_bget?ath:AT4G24620+ath:AT5G42740
18;63;phosphoglucomutase [EC:5.4.2.2];PGM3;ath:AT1G23190;ath00010;http://www.kegg.jp/dbget-bin/www_bget?ath:AT1G23190+ath:AT1G70730+ath:AT5G51820
19;64;glucose-6-phosphate isomerase [EC:5.3.1.9];PGI1;ath:AT4G24620;ath00010;http://www.kegg.jp/dbget-bin/www_bget?ath:AT4G24620+ath:AT5G42740
